id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
1,,article,32827643,Communications of the ACM,0,1.5.4,3.0,3,,,,,,,3,1656690988,1518090103,436492800,42,0,42,0,7
2,,article,48671968,ACM Transactions on Architecture and Code Optimization,0,1.5.4,10.0,3,1,,,,,,3,1688717253,1537424666,1358640000,36,1,35,0,9
3,,article,11894606,,0,1.5.4,2.85,4,,,4,,,,4,1620662466,1473330296,1472083200,131,2,129,0,16
4,,article,3390155,JAMA Ophthalmology,0,1.5.4,2.35,6,,,3,1,,,4,1431530057,1423220540,1427846400,93,0,93,0,20
5,,book,59263402,,0,1.5.4,1.5,5,,,3,,,,3,1681325502,1555729076,1194825600,319,0,319,0,26
6,,article,30171478,,0,1.5.4,1.0,1,,,1,,,,1,1375786324,1512743106,1262304000,127,2,125,0,34
7,,article,4543589,Computers in Human Behavior,0,1.5.4,1.25,3,,,3,,,,3,1469384647,1442993584,1454284800,435,0,435,0,44
8,,book,92999977,,0,1.5.4,3.0,6,,,,,,,6,1693665562,1603555645,1092182400,189,0,189,0,45
9,,article,2616187,,0,1.5.4,21.776,6,,,3,,,,5,1593697513,1408649536,1406505600,37,1,36,0,48
10,,book,29009739,,0,1.5.4,3.0,1,,,,,,,1,1630469085,1510848119,1338854400,197,0,197,0,54
11,,article,16690573,JAMA Pediatrics,0,1.5.4,12.0,2,,1,,,,,2,1348479018,1487881617,993945600,153,1,152,0,65
12,,article,2786246,Foot & Ankle International,0,1.5.4,0.5,1,,,1,,,,1,1413561045,1413561138,1411084800,48,0,48,0,68
13,,article,50068433,,0,1.5.4,2.0,3,,,3,,,,3,1663973049,1540214772,1430438400,184,0,184,0,71
14,,chapter,1755705,IBM Systems Journal,0,1.5.4,8.0,4,,,2,,,1,4,1614038400,1379430811,347155200,32,0,32,0,74
15,,article,35627313,Computer Languages,0,1.5.4,6.0,3,,,,,,3,3,1491264000,1522981736,1170288000,43,1,42,0,78
16,,article,28345427,,0,1.5.4,2.7,5,,,4,,,,4,1621427971,1509707790,1462060800,72,0,72,0,86
17,,book,12407292,,0,1.5.4,1.0,1,,,1,,,,1,1400270778,1475522081,1109635200,153,0,153,0,88
18,,article,3143217,IEEE Software,0,1.5.4,6.0,4,,1,,,,,4,1609949429,1422556931,946684800,315,1,314,0,93
19,,book,36025526,,0,1.5.4,7.5,6,,1,5,,,,6,1702339200,1523279447,1368662400,246,0,246,0,99
20,,article,2244287,World Neurosurgery,0,1.5.4,0.5,1,,,1,,,,1,1391599889,1396598742,1320624000,57,1,56,0,105
21,,article,89299421,IEEE Software,0,1.5.4,1.0,1,,,1,,,,1,1599004437,1599004568,1514764800,53,0,53,0,114
22,,article,73096303,Clinical Otolaryngology & Allied Sciences,0,1.5.4,373.836,72,42,,8,1,,1,57,1653350400,1576936151,1576713600,52,0,52,0,121
23,,article,147075444,,0,1.5.4,1.0,1,,,1,,,,1,1682943830,1682943843,1350604800,46,2,44,0,128
24,,article,2220956,Spine,0,1.5.4,4.85,12,,,10,,,,10,1424858784,1396114898,1398902400,79,0,79,0,129
25,,article,102458973,Diabetes Technology & Therapeutics,0,1.5.4,1.0,2,,,1,,,,1,1310651908,1616545373,1117584000,37,0,36,1,130
26,,article,2958465,Academic Radiology,0,1.5.4,1.5,6,,,3,2,,,5,1447762712,1417866901,1417737600,60,0,60,0,131
27,,article,35623313,,0,1.5.4,3.0,1,,,,,,1,1,1458604800,1522979424,1136073600,111,0,111,0,134
28,,article,96324388,Joint Commission journal on quality and patient safety,0,1.5.4,3.0,1,,1,,,,,1,1408614105,1608390524,1264982400,92,0,92,0,135
29,,article,864623,Educational Research,0,1.5.4,0.5,1,,,1,,,,1,1343691505,1343691584,1343347200,79,0,79,0,138
30,,article,1359323,Acta Tropica,0,1.5.4,0.75,4,,,1,1,,,2,1368161275,1365665226,1365206400,70,0,70,0,141
31,,article,3003746,Information & Software Technology,0,1.5.4,1.35,3,,,2,,,,2,1419482712,1419135039,1420070400,164,0,164,0,145
32,,article,14219299,Journal of Telemedicine and Telecare,0,1.5.4,1.85,2,,,2,,,,2,1480610363,1480608524,1480464000,115,0,115,0,161
33,,article,115307192,Structural and Multidisciplinary Optimization,0,1.5.4,0.5,2,,,1,1,,,2,1634393405,1634393414,1633651200,108,0,108,0,163
