id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
1,,,,Software product quality control,,,Wagner S.,55286051900,,,2013,,,,Software Product Quality Control,,10.1007/978-3-642-38571-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955657665&doi=10.1007%2f978-3-642-38571-1&partnerID=40&md5=8674f2942778b02cfa6d9e9e297f2100,87,210,,,,,,Book,Scopus,87,,,,,
2,,,,Automated Assessment in Computer Science Education: A State-of-the-Art Review,,,Paiva J.C.; Leal J.P.; Figueira Á.,57031556500; 56238063100; 8687056000,,,2022,,,,ACM Transactions on Computing Education,,10.1145/3513140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134593940&doi=10.1145%2f3513140&partnerID=40&md5=dda8d6981b024cdbc124ef6bc059a719,76,,,,,,,Review,Scopus,76,,,,,
3,,,,Examining the literacy component of science literacy: 25 years of language arts and science research,,,Yore L.D.; Bisanz G.L.; Hand B.M.,6602307779; 6603029928; 7004335127,,,2003,,,,International Journal of Science Education,,10.1080/09500690305018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345098631&doi=10.1080%2f09500690305018&partnerID=40&md5=72786dfae09cf3519745bf9506f2fd31,331,725,,,,,,Article,Scopus,331,,,,,
4,,,,System test case prioritization of new and regression test cases,,,Srikanth H.; Williams L.; Osborne J.,7004576718; 35565101900; 7203032439,,,2005,,,,"2005 International Symposium on Empirical Software Engineering, ISESE 2005",,10.1109/ISESE.2005.1541815,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749040645&doi=10.1109%2fISESE.2005.1541815&partnerID=40&md5=a90312802d70df7264bf21d756357155,143,73,,,,,,Conference paper,Scopus,143,,,,,
5,,,,Readability assessment of patient education materials from the American Academy of Otolaryngology - Head and neck surgery foundation,,,Kasabwala K.; Agarwal N.; Hansberry D.R.; Baredes S.; Eloy J.A.,36640023000; 56380998400; 55766233400; 6603940134; 14019566600,,,2012,,,,Otolaryngology - Head and Neck Surgery (United States),,10.1177/0194599812442783,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865654369&doi=10.1177%2f0194599812442783&partnerID=40&md5=276054b0ed0090d2dbdf02da29b44510,103,471,,,,,,Article,Scopus,103,,,,,
6,,,,A Review of Key Likert Scale Development Advances: 19952019,,,Jebb A.T.; Ng V.; Tay L.,56429321000; 56489968900; 34870886500,,,2021,,,,Frontiers in Psychology,,10.3389/fpsyg.2021.637547,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106000825&doi=10.3389%2ffpsyg.2021.637547&partnerID=40&md5=0b65b2a6942f4541cebc4ff1619e54a7,149,,,,,,,Review,Scopus,149,,,,,
7,,,,Program indentation and comprehensibility,,,Miara R.J.; Musselman J.A.; Navarro J.A.; Shneiderman B.,6508082029; 6701471183; 57199875269; 7006313615,,,1983,,,,Communications of the ACM,,10.1145/182.358437,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020848073&doi=10.1145%2f182.358437&partnerID=40&md5=cfe6c5d79b1cc29d7e71708348157d9b,107,867,,,,,,Article,Scopus,107,,,,,
8,,,,Teaching introductory Java through LEGO MINDSTORMS models,,,Barnes D.J.,7401585954,,,2002,,,,"SIGCSE Bulletin (Association for Computing Machinery, Special Interest Group on Computer Science Education)",,10.1145/563517.563397,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036377027&doi=10.1145%2f563517.563397&partnerID=40&md5=d2f0a3eafbb93b342d3d79c8e0b5d17d,69,151,,,,,,Conference paper,Scopus,69,,,,,
9,,,,"Maxine: An approachable virtual machine for, and in, java",,,Wimmer C.; Haupt M.; Van De Vanter M.L.; Jordan M.; Daynès L.; Simon D.,57000834200; 57216593613; 8253416600; 13410144500; 6603020623; 7402652800,,,2013,,,,Transactions on Architecture and Code Optimization,,10.1145/2400682.2400689,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872924990&doi=10.1145%2f2400682.2400689&partnerID=40&md5=f073caac0350d87fddab50faa1039912,57,,,,,,,Article,Scopus,57,,,,,
10,,,,A pattern approach to interaction design,,,Horchers J.O.,7005473180,,,2001,,,,AI and Society,,10.1007/bf01206115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-18744366207&doi=10.1007%2fbf01206115&partnerID=40&md5=38376a961594a9db33af49810c74e691,114,376,,,,,,Article,Scopus,114,,,,,
11,,,,Towards a holistic approach to auto-parallelization integrating profile-driven parallelism detection and machine-learning based mapping,,,Tournavitis G.; Wang Z.; Franke B.; O'Boyle M.F.P.,28168029000; 35111811300; 22834453300; 7006469391,,,2009,,,,Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),,10.1145/1542476.1542496,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450278773&doi=10.1145%2f1542476.1542496&partnerID=40&md5=ed9826326b449edf0bad9ef7274b1b6c,103,187,,,,,,Conference paper,Scopus,103,,,,,
12,,,,Validation of a measurement tool to assess awareness of breast cancer,,,Linsell L.; Forbes L.J.L.; Burgess C.; Kapari M.; Thurnham A.; Ramirez A.J.,58633724500; 26635107400; 8575741300; 26032633600; 36673997900; 7401734868,,,2010,,,,European Journal of Cancer,,10.1016/j.ejca.2010.02.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951667557&doi=10.1016%2fj.ejca.2010.02.034&partnerID=40&md5=1b1fc62f41eace49ed39a12abf50655f,95,1381,,,,,,Article,Scopus,95,,,,,
13,,,,"Test-driven development: Concepts, taxonomy, and future direction",,,Janzen D.; Saiedian H.,27168158600; 7003876484,,,2005,,,,Computer,,10.1109/MC.2005.314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-25844466601&doi=10.1109%2fMC.2005.314&partnerID=40&md5=7601af5461e578843b2ebc00af62636f,186,50,,,,,,Article,Scopus,186,,,,,
