id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
2,,,,Risk of mortality in COVID-19 patients: a meta- and network analysis,,,Kowsar R.; Rahimi A.M.; Sroka M.; Mansouri A.; Sadeghi K.; Bonakdar E.; Kateb S.F.; Mahdavi A.H.,55907006000; 57222397049; 57787402000; 57075972800; 55560526100; 36997101400; 57787998000; 36027646400,,,2023,,,,Scientific Reports,,10.1038/s41598-023-29364-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147460806&doi=10.1038%2fs41598-023-29364-8&partnerID=40&md5=92b89849b925e079b2d3d1f1e7d67d1d,9,,,,,,,Article,Scopus,9,,,,,
4,,,,The immune response to SARS-CoV-2 and COVID-19 immunopathology  Current perspectives,,,Boechat J.L.; Chora I.; Morais A.; Delgado L.,6603641795; 56521712000; 7006325241; 57200560783,,,2021,,,,Pulmonology,,10.1016/j.pulmoe.2021.03.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104312008&doi=10.1016%2fj.pulmoe.2021.03.008&partnerID=40&md5=192825d415466c219e68bc44003775f1,100,437,,,,,,Review,Scopus,100,,,,,
5,,,,Severity Factor (SF): An aid to developers for application of refactoring operations to improve software quality,,,Agnihotri M.; Chug A.,57218920285; 56168650500,,,2023,,,,Journal of Software: Evolution and Process,,10.1002/smr.2590,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161376319&doi=10.1002%2fsmr.2590&partnerID=40&md5=cfcc14f70b9109e9e7de97c7d9f453cf,0,,,,,,,Article,Scopus,0,,,,,
8,,,,Efficacy and safety of acupuncture in the treatment of the sequela of olfactory disorders after infection with COVID-19: A protocol for systematic review and meta analysis,,,Tang C.; He X.; Fu W.; Du Y.; Huang Y.; Liu L.; Lan W.; Luo R.; Liu Y.,57920125000; 57919952600; 58590662000; 57920294800; 57227810200; 57917074400; 57225993155; 57920642700; 57194799983,,,2022,,,,Medicine (United States),,10.1097/MD.0000000000030844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139522559&doi=10.1097%2fMD.0000000000030844&partnerID=40&md5=26009e668cf6d9ce683c8f47434b65d6,1,,,,,,,Review,Scopus,1,,,,,
9,,,,CNS implications of COVID-19: A comprehensive review,,,Nagu P.; Parashar A.; Behl T.; Mehta V.,57220959807; 56609961400; 56560241200; 56992346600,,,2021,,,,Reviews in the Neurosciences,,10.1515/revneuro-2020-0070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097949477&doi=10.1515%2frevneuro-2020-0070&partnerID=40&md5=7ca02f5b2793e5932b903619ca5ed4f2,62,234,,,,,,Article,Scopus,62,,,,,
11,,,,How to characterize the health of an Open Source Software project? A snowball literature review of an emerging practice,,,Linåker J.; Papatheocharous E.; Olsson T.,56426528100; 24491068000; 52365610500,,,2022,,,,ACM International Conference Proceeding Series,,10.1145/3555051.3555067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139099545&doi=10.1145%2f3555051.3555067&partnerID=40&md5=340d3181a63dbda5a96e275233ff6229,1,,,,,,,Conference paper,Scopus,1,,,,,
12,,,,A review of machine learning and deep learning algorithms for Parkinson's disease detection using handwriting and voice datasets,,,Islam M.A.; Hasan Majumder M.Z.; Hussein M.A.; Hossain K.M.; Miah M.S.,57713835100; 58881053400; 58278389000; 57614786000; 58881477000,,,2024,,,,Heliyon,,10.1016/j.heliyon.2024.e25469,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184749566&doi=10.1016%2fj.heliyon.2024.e25469&partnerID=40&md5=6e61cbcce26babbae497c30923da01ab,0,,,,,,,Article,Scopus,,,,,,
13,,,,Sensor Array Design for Complex Sensing Tasks?,,,Johnson K.J.; Rose-Pehrsson S.L.,7405969437; 6701341226,,,2015,,,,Annual Review of Analytical Chemistry,,10.1146/annurev-anchem-062011-143205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937391260&doi=10.1146%2fannurev-anchem-062011-143205&partnerID=40&md5=161507b2d499efa839841a8cf531d945,36,310,,,,,,Review,Scopus,36,,,,,
14,,,,Immune responses in the injured olfactory and gustatory systems: a role in olfactory receptor neuron and taste bud regeneration?,,,Lakshmanan H.G.; Miller E.; White-Canale A.; McCluskey L.P.,57217847255; 57899057300; 57898963000; 7003527671,,,2022,,,,Chemical Senses,,10.1093/chemse/bjac024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138459703&doi=10.1093%2fchemse%2fbjac024&partnerID=40&md5=42690e5ce85a6d1a5b6aaa2988d440be,3,,,,,,,Review,Scopus,3,,,,,
15,,,,Does Code Complexity Affect the Quality of Real-Time Projects?: Detection of Code Smell on Software Projects using Machine Learning Algorithms,,,Patnaik A.; Padhy N.,57218609678; 56417506600,,,2021,,,,ACM International Conference Proceeding Series,,10.1145/3484824.3484911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123801403&doi=10.1145%2f3484824.3484911&partnerID=40&md5=615b6e379780a347165a066c370f787b,2,185,,,,,,Conference paper,Scopus,2,,,,,
