id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
1,,article,147500075,,0,1.5.4,1.85,2,,,2,,,,2,1703540242,1683242846,1682812800,6,0,6,0,5
2,,article,104501364,Spine Journal,0,1.5.4,0.5,1,,,1,,,,1,1619140681,1619140698,1619136000,15,0,15,0,12
3,,article,125121352,,0,1.5.4,9.75,27,,,16,,,,16,1649996459,1647962857,1647907200,5,0,5,0,14
4,,article,145667156,IEEE Access,0,1.5.4,1.0,1,,,1,,,,1,1681413429,1681413441,1618185600,44,0,44,0,16
5,,article,23580976,Disability & Rehabilitation,0,1.5.4,3.35,6,,,4,,,,4,1503392876,1502406271,1502236800,143,0,143,0,31
6,,article,108810971,Universal Access in the Information Society,0,1.5.4,14.2,101,,,17,,,,17,1708582872,1625586424,1625529600,99,0,99,0,42
7,,article,30768272,Gaceta Sanitaria,0,1.5.4,1.1,3,,,2,,,,2,1566582542,1513880929,1513382400,33,0,33,0,46
8,,article,136385427,Tourism Review,0,1.5.4,5.0,6,,1,3,,,,4,1701096789,1664115478,1661299200,128,0,128,0,48
9,,article,110674170,Sensors,0,1.5.4,10.764,4,,,3,,,,4,1695020400,1627643567,1627603200,38,0,38,0,55
10,,article,149077648,,0,1.5.4,5.25,6,,,6,,,,6,1685369817,1685350488,1684972800,5,0,5,0,57
11,,article,121817541,Sexuality and Disability,0,1.5.4,0.5,1,,,1,,,,1,1643544623,1643544635,1620259200,26,0,26,0,71
12,,article,126652373,Disability and Health Journal,0,1.5.4,27.75,18,2,,16,,,,18,1681908254,1650039451,1649721600,57,0,57,0,79
13,,article,114587782,Sustainability,0,1.5.4,7.4,69,,,11,1,,,12,1705629290,1633502366,1633219200,25,0,25,0,81
14,,article,94965075,,0,1.5.4,1.0,2,,,1,,,,1,1606396046,1606396442,1556064000,21,0,21,0,83
15,,article,123479688,PeerJ Computer Science,0,1.5.4,14.25,12,1,,7,1,,,9,1698685200,1645530047,1645488000,62,0,62,0,94
16,,article,125385347,Sensors,0,1.5.4,3.0,1,,1,,,,,1,1647820800,1648274044,1557792000,74,0,74,0,95
17,,article,66623637,IEEE Access,0,1.5.4,2.85,9,,,4,1,,,5,1606395575,1568517065,1567382400,133,0,133,0,97
18,,article,97652066,International Journal of Environmental Research and Public Health,0,1.5.4,4.25,3,,1,2,,,,3,1624924800,1610611837,1610496000,108,0,108,0,98
19,,chapter,44866392,,0,1.5.4,0.5,1,,,1,,,,1,1531468660,1531293143,1529971200,8,0,8,0,104
20,,article,35467207,Online Information Review,0,1.5.4,2.5,5,,,3,,,,4,1531396364,1522915221,1528675200,19,0,19,0,107
21,,chapter,12878814,,0,1.5.4,7.0,1,1,,,,,,1,1506944281,1477128945,1420070400,24,0,24,0,128
22,,article,21184980,,0,1.5.4,1.0,1,,,1,,,,1,1497936911,1497936924,1451606400,115,0,115,0,140
