id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
1,,,,Understanding the continued usage of business e-learning courses in HK Corporations,,,Yeung P.; Jordan E.,17347193700; 15019349600,,,2006,,,,IFIP International Federation for Information Processing,,10.1007/978-0-387-34731-8_26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750015058&doi=10.1007%2f978-0-387-34731-8_26&partnerID=40&md5=c84c7e960e394dd1f43952f47a4392bc,2,254,,,,,,Article,Scopus,2,,,,,
2,,,,Information systems success and technology acceptance within government organization,,,Thomas P.,56918646300,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870338125&partnerID=40&md5=518dbc0b8aaeb5be7c15c2ba9abd0b4d,4,4411,,,,,,Conference paper,Scopus,4,,,,,
3,,,,DOES instant messaging usage impact students' performance in Kuwait?,,,Rouibah K.; Hamdy H.,22939210600; 7004886358,,,2006,,,,Proceedings of the IASTED International Conference on Networks and Communication Systems 2006,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047184224&partnerID=40&md5=2247d27d4b90c306492e35205f748f12,1,167,,,,,,Conference paper,Scopus,1,,,,,
4,,,,Stereolithography for craniofacial surgery,,,Sinn D.P.; Cillo Jr. J.E.; Miles B.A.,7005225148; 6602472302; 8572147400,,,2006,,,,Journal of Craniofacial Surgery,,10.1097/01.scs.0000230618.95012.1d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749146107&doi=10.1097%2f01.scs.0000230618.95012.1d&partnerID=40&md5=b824c10ef6abffc71502c8b509fda8b7,55,875,,,,,,Article,Scopus,55,,,,,
5,,,,The individual acceptance of intranet,,,Rim M.; Soliman K.S.,36195698000; 7005441377,,,2006,,,,"Internet and Information Systems in the Digital Age Challenges and Solutions - Proceedings of the 7th International Business Information Management Association Conference, IBIMA 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905111469&partnerID=40&md5=1c1c3e24fad3c24d02b2d0daed084a27,0,872,,,,,,Conference paper,Scopus,0,,,,,
6,,,,The technology acceptance model: A meta-analysis of empirical findings,,,Ma Q.; Liu L.,7402813698; 55574231744,,,2005,,,,Advanced Topics in End User Computing,,10.4018/978-1-59140-474-3.ch006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888613932&doi=10.4018%2f978-1-59140-474-3.ch006&partnerID=40&md5=de96a04a35996618419cb704f3fa52b8,14,127,,,,,,Book chapter,Scopus,14,,,,,
7,,,,Cultural aspects for technology acceptance: Asian perspectives and research techniques,,,Carey J.M.; Day D.,7402685798; 57210530653,,,2005,,,,"Association for Information Systems - 11th Americas Conference on Information Systems, AMCIS 2005: A Conference on a Human Scale",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870051844&partnerID=40&md5=f3705852fadd09a7959e3d32e4c091d1,3,2280,,,,,,Conference paper,Scopus,3,,,,,
8,,,,Cognitive Absorption: Its antecedents and effect on user intentions to use technology,,,Thomas P.,56918646300,,,2006,,,,"Association for Information Systems - 12th Americas Conference On Information Systems, AMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870026639&partnerID=40&md5=507ce098ccc9662de08661bcd7f083f6,3,1091,,,,,,Conference paper,Scopus,3,,,,,
9,,,,Determinants of m-commerce adoption: An integrated approach,,,Khalifa M.; Shen K.N.,55411671800; 23398327500,,,2006,,,,"Proceedings of the European and Mediterranean Conference on Information Systems, EMCIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857594602&partnerID=40&md5=3002e2e79db338a830034bab9bd16ce9,6,,,,,,,Conference paper,Scopus,6,,,,,
10,,,,Exploring factors that determine consumer attitude toward use of intelligent software agents,,,Maroudas G.; Louvieris P.,55490027800; 15923511200,,,2006,,,,"Proceedings of the 14th European Conference on Information Systems, ECIS 2006",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870638798&partnerID=40&md5=e5c714cdfce61b0b1ad42997abd14162,2,,,,,,,Conference paper,Scopus,2,,,,,
11,,,,"Acceptance and Commitment Therapy (ACT): Peculiarities, core clinical techniques, and empirical findings; [Terapia de Aceptación y Compromiso (ACT): Características, técnicas clínicas básicas y hallazgos empíricos]",,,Carrascoso López F.J.,54887438500,,,2006,,,,Psicologia Conductual,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846143497&partnerID=40&md5=a7797b4c1f843c7d9d8065e1a4e285f2,10,385,,,,,,Review,Scopus,10,,,,,
12,,,,User Acceptance of Computerized Physician Order Entry: An Empirical Investigation,,,Liang H.; Xue Y.; wu X.,7402854012; 58402962800; 56129577000,,,2006,,,,International Journal of Healthcare Information Systems and Informatics (IJHISI),,10.4018/jhisi.2006040103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001790559&doi=10.4018%2fjhisi.2006040103&partnerID=40&md5=fa19836656cb144fc0a0975e12ebaea5,4,50,,,,,,Article,Scopus,4,,,,,
