id,Citation_count,Citation_det,cited_by_count,cited_by_count_sources,Scopus_cit_count,Crossref,SSRN,PubMedCentralEurope,SciELO,Aci_cit,pubmed,patentfam_count,patentfam_count_sources,Patent_families,Clinical_citedby_count,NICE,PubMed_Guidelines_cot,DynaMed_Plus,Clinical_citedby_count_sources,policy_count,Policy_citation,Social_count,Social_det,Tweet_count,FB_count,Mention_count,Mention_det,News_count,Blog_count,reference_count,QA_site_mentioncount,link_count,Comment_count,Capture_count,Capture_det,Reader_count,export_save,download_ct,Book_mark_count,Usage_count,Usage_det,abstract_view,link_click_count,link_out,Fulltxt_viw,Literature_id_id
1,1281,,1281,,1281,660,,,,6,,,,,,,,,,,,77,,43,34,4,,2,1,1,,,,3195,,2813,382,,,8047,,7410,,632,5,1
2,791,,791,,791,310,,,,,,,,,,,,,,,,12,,3,9,3,,,1,2,,,,2320,,2117,203,,,2766,,2119,,647,,2
3,751,,750,,750,203,,,,2,,1,"[{'name': 'Patent Families', 'total': 1}]",1,,,,,,,,46,,13,33,3,,1,,2,,,,2887,,2356,531,,,5484,,4292,,1192,,3
4,590,,590,,590,201,,,,10,,,,,,,,,,,,2,,,2,,,,,,,,,1062,,903,159,,,5335,,5201,,133,1,4
5,571,,571,,571,335,,,,4,,,,,,,,,,,,134,,13,121,,,,,,,,,2807,,1403,1404,,,25769,,24260,,1481,28,5
6,569,,569,,569,279,,,,3,,,,,,,,,,,,2,,2,,14,,13,1,,,,,2068,,1510,558,,,16737,,15328,,1405,4,6
7,566,,566,,566,286,,,,2,,,,,,,,,,,,52,,25,27,5,,4,1,,,,,2247,,1865,382,,,6337,,4523,,1814,,7
8,538,,538,,538,269,,,,,,,,,,,,,,,,2,,,2,1,,,,1,,,,1116,,801,315,,,12801,,12571,,229,1,8
9,536,,536,,536,72,,,,3,,,,,,,,,,,,29,,17,12,2,,1,,1,,,,1883,,1570,313,,,3614,,2601,9,1004,,9
10,482,,482,,482,159,,,,,,,,,,,,,,,,6,,4,2,,,,,,,,,1344,,1098,246,,,5873,,5503,,366,4,10
11,478,,478,,478,209,,,,,,,,,,,,,,,,23,,7,16,,,,,,,,,814,,716,98,,,6572,,6239,,333,,11
12,473,,473,,473,258,,,,,,,,,,,,,,,,84,,50,34,1,,,,1,,,,1565,,1104,461,,,18258,,17676,2,576,4,12
13,450,,450,,450,255,,,,12,,,,,,,,,,,,11,,,11,,,,,,,,,1124,,766,358,,,12267,,11966,,300,1,13
14,429,,429,,429,302,,,,2,,,,,,,,,,,,19,,11,8,,,,,,,,,1298,,978,320,,,8674,,8423,,247,4,14
15,428,,428,,428,199,,,,,,,,,,,,,,,,7,,4,3,,,,,,,,,1077,,921,156,,,3999,,3675,1,321,2,15
16,427,,427,,427,110,,,,8,,,,,,,,,,,,14,,9,5,,,,,,,,,1364,,1131,233,,,8110,,7711,,392,7,16
17,422,,422,,422,288,,,,4,,,,,,,,,,,,1,,,1,5,,3,2,,,,,1077,,958,119,,,1717,,1455,,262,,17
18,414,,414,,414,213,,,,3,,,,,,,,,,,,2,,,2,,,,,,,,,1438,,990,448,,,17312,,17091,,218,3,18
19,392,,392,,392,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,865,266,,,14103,,13915,,188,,19
20,370,,370,,370,220,,,,5,,,,,,,,,,,,14,,,14,,,,,,,,,1295,,693,602,,,14123,,13979,,143,1,20
21,366,,364,,364,179,,,,,,2,"[{'name': 'Patent Families', 'total': 2}]",2,,,,,,,,3,,,3,,,,,,,,,859,,599,260,,,14359,,14246,,113,,21
22,363,,363,,363,212,,,,,,,,,,,,,,,,8,,6,2,1,,,1,,,,,1873,,1358,515,,,14820,,14171,,645,4,22
23,354,,354,,354,179,,,,4,,,,,,,,,,,,134,,103,31,1,,,,1,,,,1020,,899,121,,,2271,,1713,,558,,23
24,352,,352,,352,175,,,,,,,,,,,,,,,,10,,9,1,,,,,,,,,1140,,1012,128,,,6915,,6643,,272,,24
25,345,,345,,345,225,,,,3,,,,,,,,,,,,3,,,3,,,,,,,,,1066,,836,230,,,9226,,9068,,158,,25
26,344,,344,,344,180,,,,7,,,,,,,,,,,,,,,,,,,,,,,,886,,669,217,,,8645,,8549,,95,1,26
27,337,,337,,337,235,,,,,,,,,,,,,,,,7,,6,1,1,,,1,,,,,862,,567,295,,,13748,,13568,,176,4,27
28,332,,332,,332,184,,,,,,,,,,,,,,,,54,,26,28,2,,1,,1,,,,1694,,731,963,,,19517,,17675,,1841,1,28
29,332,,332,,332,205,,,,3,,,,,,,,,,,,3,,1,2,,,,,,,,,1014,,680,334,,,11156,,10722,,432,2,29
30,327,,327,,327,159,,,,3,,,,,,,,,,,,4,,2,2,,,,,,,,,1192,,819,373,,,8546,,8368,,178,,30
31,325,,325,,325,187,,,,,,,,,,,,,,,,2,,2,,1,,,1,,,,,1405,,1144,261,,,11465,,11182,,282,1,31
32,319,,319,,319,114,,,,5,,,,,,,,,,,,5,,,5,,,,,,,,,1183,,618,565,,,13692,,13404,,286,2,32
33,316,,316,,316,96,,,,5,,,,,,,,,,,,16,,9,7,1,,,,1,,,,1357,,912,445,,,4481,,2966,,1515,,33
34,311,,311,,311,124,,,,3,,,,,,,,,,,,2,,1,1,,,,,,,,,543,,435,108,,,5309,,5156,,152,1,34
35,305,,305,,305,181,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,1307,,955,352,,,11031,,10584,,445,2,35
36,303,,303,,303,61,,,,,,,,,,,,,,,,3,,2,1,,,,,,,,,589,,504,85,,,914,,804,,110,,36
37,303,,303,,303,120,,,,8,,,,,,,,,,,,10,,1,9,,,,,,,,,994,,745,249,,,3249,,2782,,466,1,37
38,303,,303,,303,164,,,,9,,,,,,,,,,,,7,,4,3,1,,1,,,,,,1080,,564,516,,,12090,,11501,,589,,38
39,302,,302,,302,132,,,,2,,,,,,,,,,,,9,,9,,,,,,,,,,1027,,763,264,,,2779,,2211,,568,,39
40,293,,292,,292,75,,,,2,,1,"[{'name': 'Patent Families', 'total': 1}]",1,,,,,,,,1,,,1,,,,,,,,,1060,,852,208,,,9650,,9395,,253,2,40
41,291,,291,,291,162,,,,5,,,,,,,,,,,,,,,,,,,,,,,,438,,251,187,,,8942,,8888,,53,1,41
42,291,,290,,290,167,,,,4,,1,"[{'name': 'Patent Families', 'total': 1}]",1,,,,,,,,10,,,10,2,,,2,,,,,878,,634,244,,,8518,,8163,,355,,42
43,289,,289,,289,164,,,,9,,,,,,,,,,,,7,,,7,,,,,,,,,1206,,1036,170,,,8730,,8488,,242,,43
44,287,,287,,287,147,,,,,,,,,,,,,,,,3026,,662,2364,40,,29,10,1,,,,1874,,1161,713,,,15445,,10955,380,4107,3,44
45,287,,287,,287,149,,,,,,,,,,,,,,,,37,,6,31,1,,1,,,,,,1569,,957,612,,,10366,,9681,,679,6,45
46,281,,281,,281,153,,,,3,,,,,,,,,,,,3,,,3,,,,,,,,,1135,,755,380,,,12043,,11720,,321,2,46
47,281,,281,,281,84,,,,3,,,,,,,,,,,,16,,5,11,,,,,,,,,1038,,840,198,,,3340,,2863,,477,,47
48,280,,280,,280,177,,,,2,,,,,,,,,,,,3,,,3,,,,,,,,,786,,525,261,,,2707,,2212,,495,,48
49,272,,272,,272,137,,,,,,,,,,,,,,,,8,,3,5,1,,,1,,,,,820,,630,190,,,19615,,19248,,366,1,49
50,268,,268,,268,112,,,,,,,,,,,,,,,,9,,4,5,,,,,,,,,1386,,1068,318,,,3056,,2213,,843,,50
51,264,,264,,264,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,,772,169,,,4488,,4237,,250,1,51
52,263,,263,,263,179,,,,2,,,,,,,,,,,,7,,,7,1,,,,1,,,,1157,,496,661,,,22913,,22708,,200,5,52
53,262,,262,,262,172,,,,,,,,,,,,,,,,46,,13,33,,,,,,,,,1169,,541,628,,,17676,,15931,,1736,9,53
54,261,,261,,261,164,,,,3,,,,,,,,,,,,4,,,4,,,,,,,,,692,,538,154,,,5004,,4930,,74,,54
55,256,,256,,256,152,,,,4,,,,,,,,,,,,3,,,3,,,,,,,,,1189,,951,238,,,2369,,1793,,574,2,55
56,254,,254,,254,150,,,,,,,,,,,,,,,,5,,4,1,,,,,,,,,979,,664,315,,,10835,,10370,,464,1,56
57,253,,253,,253,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,619,64,,,4126,,4002,,124,,57
58,249,,249,,249,41,,,,3,,,,,,,,,,,,63,,3,60,,,,,,,,,890,,646,244,,,1995,,1316,,679,,58
59,246,,246,,246,113,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,732,,547,185,,,1712,,1534,,178,,59
60,242,,242,,242,26,,,,,,,,,,,,,,,,52,,4,48,1,,,,1,,,,693,,583,110,,,1997,,1678,,319,,60
61,240,,240,,240,63,,,,,,,,,,,,,,,,8,,7,1,3,,3,,,,,,1314,,1017,297,,,8950,,8280,,664,6,61
62,235,,235,,235,149,,,,9,,,,,,,,,,,,1,,,1,,,,,,,,,505,,264,241,,,6641,,6590,,50,1,62
63,232,,232,,232,166,,,,2,,,,,,,,,,,,37,,1,36,,,,,,,,,832,,634,198,,,7166,,6704,,462,,63
64,230,,230,,230,90,,,,4,,,,,,,,,,,,4,,1,3,,,,,,,,,604,,515,89,,,1815,,1661,,154,,64
65,229,,229,,229,106,,,,,,,,,,,,,,,,105,,18,87,,,,,,,,,843,,577,266,,,7425,,6522,5,898,,65
66,229,,229,,229,161,,,,2,,,,,,,,,,,,,,,,,,,,,,,,810,,688,122,,,11896,,11706,,189,1,66
67,221,,221,,221,67,,,,8,,,,,,,,,,,,5,,,5,,,,,,,,,539,,314,225,,,1575,,1363,,212,,67
68,218,,218,,218,54,,,,,,,,,,,,,,,,8,,1,7,,,,,,,,,933,,777,156,,,4059,,3719,,340,,68
69,217,,217,,217,104,,,,,,,,,,,,,,,,19,,8,11,,,,,,,,,1205,,1056,149,,,2936,,1989,,947,,69
70,211,,211,,211,76,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,633,,529,104,,,1127,,1016,,111,,70
71,209,,209,,209,146,,,,,,,,,,,,,,,,24,,10,14,2,,2,,,,,,1041,,454,587,,,15378,,13406,,1967,5,71
72,208,,208,,208,48,,,,3,,,,,,,,,,,,3,,3,,1,,1,,,,,,1284,,605,679,,,17854,,17012,,839,3,72
73,208,,208,,208,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,,381,113,,,4239,,4158,,80,1,73
74,206,,206,,206,87,,,,2,,,,,,,,,,,,1,,,1,1,,,1,,,,,1248,,757,491,,,11721,,11361,,360,,74
75,206,,206,,206,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,218,75,,,2708,,2586,,121,1,75
76,202,,202,,202,57,,,,,,,,,,,,,,,,8,,1,7,,,,,,,,,635,,524,111,,,1498,,1321,,176,1,76
77,202,,202,,202,80,,,,4,,,,,,,,,,,,3,,1,2,,,,,,,,,774,,494,280,,,8120,,7894,,226,,77
78,201,,201,,201,106,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,656,,430,226,,,13416,,13331,,84,1,78
79,200,,200,,200,129,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,787,,586,201,,,17427,,17093,,330,4,79
80,197,,197,,197,84,,,,2,,,,,,,,,,,,,,,,,,,,,,,,888,,632,256,,,13298,,13016,,281,1,80
81,195,,195,,195,113,,,,4,,,,,,,,,,,,24,,12,12,,,,,,,,,734,,583,151,,,2335,,1969,,366,,81
82,195,,195,,195,106,,,,2,,,,,,,,,,,,,,,,,,,,,,,,599,,438,161,,,10236,,10140,,95,1,82
83,194,,194,,194,125,,,,,,,,,,,,,,,,7,,4,3,,,,,,,,,771,,546,225,,,6761,,6503,,253,5,83
84,190,,190,,190,78,,,,7,,,,,,,,,,,,,,,,,,,,,,,,453,,284,169,,,7455,,7388,,65,2,84
85,189,,189,,189,86,,,,3,,,,,,,,,,,,4,,,4,1,,,1,,,,,1079,,736,343,,,4202,,3006,,1196,,85
86,187,,187,,187,104,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,476,,311,165,,,4588,,4415,,172,1,86
87,187,,187,,187,118,,,,2,,,,,,,,,,,,12,,8,4,,,,,,,,,915,,472,443,,,14891,,14329,,559,3,87
88,187,,187,,187,100,,,,2,,,,,,,,,,,,,,,,,,,,,,,,714,,505,209,,,7831,,7733,,96,2,88
89,186,,186,,186,147,,,,3,,,,,,,,,,,,36,,14,22,,,,,,,,,1321,,622,699,,,12495,,10874,,1620,1,89
90,185,,185,,185,56,,,,,,,,,,,,,,,,5,,4,1,2,,,2,,,,,913,,765,148,,,1834,,1310,,524,,90
91,185,,185,,185,144,,,,3,,,,,,,,,,,,1,,,1,,,,,,,,,631,,359,272,,,14836,,14643,,193,,91
92,184,,184,,184,82,,,,4,,,,,,,,,,,,,,,,,,,,,,,,634,,452,182,,,5013,,4919,,94,,92
93,182,,182,,182,100,,,,6,,,,,,,,,,,,11,,10,1,,,,,,,,,809,,529,280,,,4885,,3720,,1165,,93
94,181,,181,,181,98,,,,,,,,,,,,,,,,3,,1,2,,,,,,,,,463,,383,80,,,1689,,1508,,181,,94
95,180,,180,,180,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,535,87,,,1651,,1499,,152,,95
96,179,,179,,179,100,,,,5,,,,,,,,,,,,2,,2,,,,,,,,,,352,,207,145,,,7866,,7809,,57,,96
97,176,,176,,176,116,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,589,,468,121,,,6906,,6789,,114,3,97
98,175,,175,,175,39,,,,,,,,,,,,,,,,7,,1,6,,,,,,,,,653,,576,77,,,2468,,1921,,547,,98
99,175,,175,,175,87,,,,9,,,,,,,,,,,,4,,1,3,,,,,,,,,706,,435,271,,,9265,,8994,,271,,99
100,174,,174,,174,68,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,285,,258,27,,,294,,233,,61,,100
101,174,,174,,174,71,,,,3,,,,,,,,,,,,1,,,1,,,,,,,,,811,,584,227,,,4115,,3868,,247,,101
102,172,,172,,172,120,,,,2,,,,,,,,,,,,,,,,,,,,,,,,514,,350,164,,,11055,,10989,,66,,102
103,168,,168,,168,91,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,471,,345,126,,,7671,,7555,,114,2,103
104,169,,168,,168,114,,,,,,1,"[{'name': 'Patent Families', 'total': 1}]",1,,,,,,,,1,,1,,3,,1,1,1,,,,838,,401,437,,,12193,,11703,,486,4,104
105,165,,165,,165,28,,,,2,,,,,,,,,,,,9,,7,2,,,,,,,,,608,,461,147,,,3358,,2661,,697,,105
106,165,,165,,165,107,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,447,,346,101,,,2293,,2089,,204,,106
107,165,,165,,165,83,,,,6,,,,,,,,,,,,4,,1,3,2,,,,2,,,,779,,443,336,,,11069,,10872,,194,3,107
108,164,,164,,164,44,,,,2,,,,,,,,,,,,3,,1,2,,,,,,,,,967,,768,199,,,2042,,1459,,583,,108
109,164,,164,,164,96,,,,2,,,,,,,,,,,,10,,6,4,,,,,,,,,878,,520,358,,,4857,,3878,,979,,109
110,161,,161,,161,67,,,,,,,,,,,,,,,,4,,4,,1,,1,,,,,,551,,469,82,,,1648,,1229,,419,,110
111,162,,162,,162,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,633,537,,,14623,,14191,,416,16,111
112,159,,159,,159,95,,,,2,,,,,,,,,,,,5,,,5,,,,,,,,,572,,382,190,,,7259,,7145,,114,,112
113,159,,159,,159,111,,,,3,,,,,,,,,,,,,,,,,,,,,,,,444,,255,189,,,9443,,9353,,90,,113
114,158,,158,,158,116,,,,3,,,,,,,,,,,,30,,,30,,,,,,,,,472,,300,172,,,14221,,14113,,104,4,114
115,158,,158,,158,92,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,974,,499,475,,,12698,,12045,,647,6,115
116,157,,157,,157,50,,,,,,,,,,,,,,,,12,,5,7,,,,,,,,,625,,526,99,,,2170,,1908,,262,,116
117,157,,157,,157,57,,,,,,,,,,,,,,,,40,,6,34,,,,,,,,,924,,491,433,,,5439,,4662,19,758,,117
118,157,,157,,157,67,,,,,,,,,,,,,,,,8,,5,3,,,,,,,,,873,,504,369,,,9511,,9214,3,285,9,118
119,156,,156,,156,82,,,,,,,,,,,,,,,,5,,1,4,,,,,,,,,787,,358,429,,,18158,,17516,,638,4,119
120,154,,154,,154,71,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,703,,548,155,,,2063,,1471,,592,,120
121,154,,154,,154,18,,,,2,,,,,,,,,,,,57,,4,53,1,,,,1,,,,668,,480,188,,,2736,,2037,,699,,121
122,154,,154,,154,65,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,636,,338,298,,,6993,,6787,,206,,122
123,154,,154,,154,92,,,,3,,,,,,,,,,,,3,,,3,,,,,,,,,479,,311,168,,,7809,,7762,,45,2,123
124,153,,153,,153,86,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,675,,431,244,,,10887,,10767,,118,2,124
125,151,,151,,151,106,,,,2,,,,,,,,,,,,1,,,1,1,,1,,,,,,700,,625,75,,,1131,,925,,206,,125
126,151,,151,,151,48,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,651,,340,311,,,12207,,11897,,305,5,126
127,149,,149,,149,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,,283,100,,,2048,,1946,,102,,127
128,148,,148,,148,75,,,,2,,,,,,,,,,,,,,,,,,,,,,,,472,,325,147,,,5459,,5374,,84,1,128
129,148,,148,,148,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,165,61,,,4684,,4648,,36,,129
130,146,,146,,146,91,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,721,,596,125,,,5392,,5339,,53,,130
131,146,,146,,146,72,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,402,,277,125,,,10186,,10119,,66,1,131
132,145,,145,,145,90,,,,2,,,,,,,,,,,,,,,,,,,,,,,,525,,273,252,,,10104,,9923,,181,,132
133,145,,145,,145,64,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,794,,407,387,,,10030,,9782,,245,3,133
134,145,,145,,145,77,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,415,,253,162,,,5182,,5150,,32,,134
135,144,,144,,144,55,,,,3,,,,,,,,,,,,,,,,,,,,,,,,861,,683,178,,,1891,,1500,,391,,135
136,144,,144,,144,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,,283,275,,,2212,,2027,,185,,136
137,144,,144,,144,69,,,,3,,,,,,,,,,,,11,,9,2,1,,1,,,,,,710,,346,364,,,7231,,6005,,1226,,137
138,144,,144,,144,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,665,347,,,7285,,6370,,913,2,138
139,141,,141,,141,53,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,423,,307,116,,,7668,,7579,,88,1,139
140,141,,141,,141,56,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,707,,419,288,,,10584,,10421,,163,,140
141,138,,138,,138,51,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,497,,346,151,,,3534,,3020,,514,,141
142,138,,138,,138,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,,251,87,,,4397,,4327,,70,,142
143,137,,137,,137,51,,,,2,,,,,,,,,,,,3,,,3,1,,,,1,,,,786,,409,377,,,13685,,13284,,401,,143
