id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
1,,article,138177365,Frontiers of Computer Science,0,1.5.4,0.25,1,,,1,,,,1,1667899499,1667899540,1667865600,6,0,6,0,3
2,,article,107261695,Journal of Symbolic Computation,0,1.5.4,1.0,7,,,3,,,,3,1687628083,1623120819,1682899200,8,0,8,0,6
3,,article,138593056,Journal of Food Engineering,0,1.5.4,1.0,1,,,1,,,,1,1668733241,1668733254,1680307200,7,0,7,0,7
4,,article,133866671,Frontiers of Computer Science,0,1.5.4,0.25,1,,,1,,,,1,1660080241,1660080254,1660003200,5,0,5,0,16
5,,article,143146001,Expert Systems with Applications,0,1.5.4,0.25,1,,,1,,,,1,1677846051,1677846065,1677628800,25,0,25,0,32
6,,article,138108913,Expert Systems with Applications,0,1.5.4,1.0,1,,,1,,,,1,1667688930,1667688942,1677628800,15,0,15,0,33
7,,article,137346139,Food Chemistry,0,1.5.4,10.95,26,,,19,,,,19,1698444475,1666086694,1677628800,41,0,41,0,36
8,,article,137943888,Progress in Neuro-Psychopharmacology & Biological Psychiatry,0,1.5.4,4.85,9,,,9,,,,9,1677329325,1667341473,1677628800,37,0,37,0,41
9,,article,138603369,Progress in Neuro-Psychopharmacology & Biological Psychiatry,0,1.5.4,0.5,1,,,1,,,,1,1668756333,1668756346,1677628800,11,0,11,0,42
10,,article,138742699,Journal of Surgical Research,0,1.5.4,0.5,1,,,1,,,,1,1669083914,1669083926,1677628800,13,0,13,0,47
11,,article,138948309,JAAD International,0,1.5.4,0.25,1,,,1,,,,1,1669378191,1669378204,1677628800,2,0,2,0,54
12,,article,138749577,Expert Systems with Applications,0,1.5.4,1.0,1,,,1,,,,1,1669107033,1669107045,1677628800,17,0,17,0,55
13,,article,143240216,Expert Systems with Applications,0,1.5.4,5.08,1,,,,,,,1,1678103189,1678103625,1677628800,12,0,12,0,57
14,,article,138096293,Dynamics of Atmospheres & Oceans,0,1.5.4,1.0,1,,,1,,,,1,1667644239,1667644252,1677628800,4,0,4,0,59
15,,article,139712583,Computer Standards & Interfaces,0,1.5.4,0.25,1,,,1,,,,1,1670271775,1670271786,1677628800,29,0,29,0,64
16,,article,137882926,Expert Systems with Applications,0,1.5.4,0.5,2,,,1,1,,,2,1667201076,1667201088,1677628800,56,0,56,0,65
17,,article,138503025,Expert Systems with Applications,0,1.5.4,1.0,3,,,3,,,,3,1669267509,1668608820,1677628800,11,0,13,0,66
18,,article,139725760,Expert Systems with Applications,0,1.5.4,1.0,1,,,1,,,,1,1670301889,1670301901,1677628800,20,0,20,0,71
19,,article,141315784,Journal of Food Engineering,0,1.5.4,0.5,1,,,1,,,,1,1673770440,1673770451,1677628800,38,0,38,0,81
20,,article,137988601,Food Control,0,1.5.4,0.75,2,,,2,,,,2,1667562100,1667452053,1677628800,10,0,10,0,84
21,,article,138301883,Mechanical Systems & Signal Processing,0,1.5.4,1.0,1,,,1,,,,1,1668205401,1668205412,1677628800,21,0,21,0,88
22,,article,142015982,Information Fusion,0,1.5.4,9.5,3,1,,1,,,,2,1675328502,1675247523,1677628800,10,0,10,0,92
23,,article,137358833,Expert Systems with Applications,0,1.5.4,1.0,2,,,1,,,,1,1666592593,1666116126,1677628800,6,0,6,0,101
24,,article,139930528,IAES International Journal of Artificial Intelligence (IJ-AI),0,1.5.4,0.25,1,,,1,,,,1,1670552089,1670552100,1677628800,14,0,14,0,106
25,,article,144732372,IAES International Journal of Artificial Intelligence (IJ-AI),0,1.5.4,0.25,1,,,1,,,,1,1680341961,1680341974,1677628800,54,0,54,0,116
26,,article,137520550,Expert Systems with Applications,0,1.5.4,1.85,2,,,2,,,,2,1666393543,1666352439,1677628800,46,0,46,0,120
27,,article,140586397,Food Control,0,1.5.4,0.5,1,,,1,,,,1,1672157642,1672157654,1677628800,20,0,20,0,121
28,,article,137660381,Expert Systems with Applications,0,1.5.4,5.0,7,,,7,,,,7,1666897101,1666695431,1677628800,10,0,10,0,124
29,,article,137662726,Food Control,0,1.5.4,4.2,6,,,5,,,,5,1666737168,1666700124,1677628800,68,0,68,0,128
30,,article,137513234,Expert Systems with Applications,0,1.5.4,7.25,8,,,8,,,,8,1667776846,1666340637,1677628800,75,0,75,0,131
31,,article,136756897,Computational Statistics & Data Analysis,0,1.5.4,1.0,2,,,2,,,,2,1665202556,1664854056,1677628800,9,0,9,0,137
32,,article,136659471,Expert Systems with Applications,0,1.5.4,1.0,1,,,1,,,,1,1664569125,1664569137,1677628800,24,0,24,0,139
33,,article,136878617,Expert Systems with Applications,0,1.5.4,3.35,7,,,4,,,,4,1677630182,1665112334,1677628800,63,0,63,0,145
34,,article,136354543,Expert Systems with Applications,0,1.5.4,11.4,30,,,17,,,,17,1688109397,1664012511,1677628800,57,0,57,0,153
35,,article,136761589,Expert Systems with Applications,0,1.5.4,6.4,14,,,9,,,,9,1695021557,1664863226,1677628800,81,0,81,0,154
36,,article,136907110,Mechanical Systems & Signal Processing,0,1.5.4,0.5,1,,,1,,,,1,1665181057,1665181070,1677628800,21,0,21,0,158
37,,article,137563152,Food Chemistry,0,1.5.4,1.25,2,,,2,,,,2,1668438382,1666431633,1677628800,28,0,28,0,159
38,,article,136751873,Food Chemistry,0,1.5.4,4.55,6,,,6,,,,6,1666829010,1664838773,1677628800,31,0,31,0,163
39,,article,136676447,Expert Systems with Applications,0,1.5.4,0.25,1,,,1,,,,1,1664615449,1664615461,1677628800,63,0,63,0,166
40,,article,136495175,Expert Systems with Applications,0,1.5.4,0.75,2,,,2,,,,2,1699650089,1664269848,1677628800,32,0,32,0,169
41,,article,136726389,Food Chemistry,0,1.5.4,0.25,1,,,1,,,,1,1664779704,1664779717,1677628800,12,0,12,0,170
42,,article,135421731,Journal of Symbolic Computation,0,1.5.4,2.25,7,,,7,,,,7,1688767967,1662458799,1677628800,6,0,6,0,174
43,,article,130398591,European Journal of Operational Research,0,1.5.4,1.35,2,,,2,,,,2,1656486180,1656472091,1677628800,24,0,24,0,179
