id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
1,,,,Predicting determinant factors and development strategy for tourist villages,,,"Ariyani N., Fauzi A., Umar F.",57459950200;6602797726;57960241300;,,,2023,,,,Decision Science Letters,,10.5267/j.dsl.2022.9.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141720616&doi=10.5267%2fj.dsl.2022.9.003&partnerID=40&md5=badc3632533e022302d710baf903d5fc,0,1,,,,,,,137,148,,,,,
2,,,,Data Mining Model Based Differential Microgrid Fault Classification Using SVM Considering Voltage and Current Distortions,,,"Venkata P., Pandya V., Sant A.V.",57545586500;56020330300;35111805900;,,,2023,,,,Journal of Operation and Automation in Power Engineering,,10.22098/joape.2023.10185.1722,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140776393&doi=10.22098%2fjoape.2023.10185.1722&partnerID=40&md5=be1392be9580b7219d612ffab0ab9239,0,3,,,,,,,162,172,,,,,
3,,,,Forecasting technical debt evolution in software systems: an empirical study,,,"Aversano L., Bernardi M.L., Cimitile M., Iammarino M., Montano D.",6701736448;57959108200;23392132800;57215347660;57751325700;,,,2023,,,,Frontiers of Computer Science,,10.1007/s11704-022-1541-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141566820&doi=10.1007%2fs11704-022-1541-7&partnerID=40&md5=4a88983a1a39182776f8ffe63ca8a9df,173210,3,,,,,,,,,,,,,
4,,,,Assessment of flexural strength of concrete with marble powder applying soft computing techniques,,,"Sharma N., Thakur M.S., Upadhya A., Sihag P.",57247142700;57221767700;57219611778;57195985799;,,,2023,,,,Journal of Building Pathology and Rehabilitation,,10.1007/s41024-022-00251-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141427237&doi=10.1007%2fs41024-022-00251-5&partnerID=40&md5=47a43343407670034a3c5fcdcc08dd74,4,1,,,,,,,,,,,,,
5,,,,Supervised learning of sheared distributions using linearized optimal transport,,,"Khurana V., Kannan H., Cloninger A., Moosmüller C.",57431912700;57211107085;35067919800;57191755206;,,,2023,,,,"Sampling Theory, Signal Processing, and Data Analysis",,10.1007/s43670-022-00038-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140215723&doi=10.1007%2fs43670-022-00038-2&partnerID=40&md5=9e045e64d55b46538f611248f3aa59d3,1,1,,,,,,,,,,,,,
6,,,,Neurons on amoebae,,,"Bao J., He Y.-H., Hirst E.",57217249392;7404942248;57219517640;,,,2023,,,,Journal of Symbolic Computation,,10.1016/j.jsc.2022.08.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137296023&doi=10.1016%2fj.jsc.2022.08.021&partnerID=40&md5=9b1235f67dd4ad55d097eccab79fbd0c,0,,,,,,,,1,38,,,,,
7,,,,Feasibility of imaging under structured illumination for evaluation of white striping in broiler breast fillets,,,"Olaniyi E.O., Lu Y., Cai J., Sukumaran A.T., Jarvis T., Rowe C.",57115462500;57116702400;57973162600;56611772800;57222047604;57973864900;,,,2023,,,,Journal of Food Engineering,,10.1016/j.jfoodeng.2022.111359,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142371931&doi=10.1016%2fj.jfoodeng.2022.111359&partnerID=40&md5=ff0780f76e49d4b727db0d13d7b21703,111359,,,,,,,,,,,,,,
8,,,,"Development, validation, and feature extraction of a deep learning model predicting in-hospital mortality using Japan's largest national ICU database: a validation framework for transparent clinical Artificial Intelligence (cAI) development",,,"Ishii E., Nawa N., Hashimoto S., Shigemitsu H., Fujiwara T.",57442909200;36993405700;57796103400;57581831200;55470774300;,,,2023,,,,Anaesthesia Critical Care and Pain Medicine,,10.1016/j.accpm.2022.101167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141652774&doi=10.1016%2fj.accpm.2022.101167&partnerID=40&md5=ca80981938beed5c5d7df40c8d39ed83,101167,2,,,,,,,,,,,,,
9,,,,State-of-the-art applications of machine learning in the life cycle of solid waste management,,,"Liang R., Chen C., Kumar A., Tao J., Kang Y., Han D., Jiang X., Tang P., Yan B., Chen G.",57212089787;57216232482;57278007900;57192956740;57952838400;57951522400;57952398300;57951968100;57890687600;57770870400;,,,2023,,,,Frontiers of Environmental Science and Engineering,,10.1007/s11783-023-1644-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141177419&doi=10.1007%2fs11783-023-1644-x&partnerID=40&md5=6df927073f723aa4c4e3ec25216b02c3,44,4,,,,,,,,,,,,,
10,,,,Springback Prediction of Sandwich Panel using Machine Learning Methods,,,"Ouled Ahmed Ben Ali R., Chatti S.",57202363879;57210658721;,,,2023,,,,Mechanics of Advanced Composite Structures,,10.22075/MACS.2022.25933.1377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140472781&doi=10.22075%2fMACS.2022.25933.1377&partnerID=40&md5=e8fa6ad58cc2ca514a1766d4ffcf0842,0,1,,,,,,,11,20,,,,,
