id,journal,cst,cstyear,csc,cscyear,sjr,sjryear,snip,snipyear
1,Journal of Hydrology,4.89,2018,4.06,2017,1.832,2017,1.71,2017
2,Expert Systems with Applications,6.28,2018,5.22,2017,1.271,2017,2.449,2017
3,Journal of Pediatric Nursing,1.69,2018,1.28,2017,0.5,2017,0.699,2017
4,Archives of Physical Medicine and Rehabilitation,3.06,2018,3.17,2017,1.501,2017,1.593,2017
5,Acta Astronautica,3.01,2018,2.26,2017,0.758,2017,1.49,2017
6,Journal of Vascular Surgery,2.6,2018,2.57,2017,2.308,2017,1.731,2017
7,Acta Astronautica,3.01,2018,2.26,2017,0.758,2017,1.49,2017
8,Education for Chemical Engineers,1.7,2018,0.98,2017,0.273,2017,1.092,2017
9,Clinical Psychology Review,12.35,2018,10.56,2017,5.226,2017,4.368,2017
10,Computers in Industry,5.94,2018,3.68,2017,1.028,2017,1.886,2017
11,Nursing Clinics of North America,0.86,2018,0.72,2017,0.307,2017,0.451,2017
12,Applied Acoustics,2.83,2018,2.31,2017,0.815,2017,1.515,2017
13,Computers & Graphics,1.81,2018,1.7,2017,0.355,2017,1.026,2017
14,Health Policy and Technology,1.33,2018,1.11,2017,0.322,2017,0.841,2017
15,Computers in Industry,5.94,2018,3.68,2017,1.028,2017,1.886,2017
16,New Scientist,0.05,2018,0.03,2017,0.105,2017,0.0,2017
17,Applied Soft Computing,6.18,2018,4.81,2017,1.199,2017,2.006,2017
18,Computer Methods and Programs in Biomedicine,3.92,2018,3.49,2017,0.786,2017,1.767,2017
19,Computers & Industrial Engineering,4.69,2018,3.8,2017,1.463,2017,1.781,2017
20,Annual Reviews in Control,5.07,2018,2.87,2017,0.824,2017,1.457,2017
21,Journal of Anxiety Disorders,4.06,2018,3.63,2017,2.043,2017,1.449,2017
22,Computers & Education,7.6,2018,5.88,2017,2.626,2017,3.553,2017
23,Journal of Process Control,4.04,2018,3.85,2017,1.108,2017,1.971,2017
24,Robotics and Computer-Integrated Manufacturing,5.85,2018,4.11,2017,1.041,2017,2.681,2017
25,Neurocomputing,4.94,2018,3.74,2017,1.073,2017,1.516,2017
26,Procedia - Social and Behavioral Sciences,0.0,0,0.0,0,0.158,2015,0.649,2015
27,Computers in Human Behavior,6.07,2018,4.57,2017,1.555,2017,2.125,2017
28,Seminars in Nephrology,2.97,2018,3.22,2017,1.394,2017,0.933,2017
29,Sport Management Review,3.61,2018,3.28,2017,1.159,2017,1.694,2017
30,Journal of Surgical Education,2.01,2018,1.9,2017,0.976,2017,1.112,2017
31,ISPRS Journal of Photogrammetry and Remote Sensing,8.25,2018,7.76,2017,3.169,2017,3.004,2017
32,International Journal of Industrial Ergonomics,2.1,2018,1.85,2017,0.795,2017,1.487,2017
33,Journal of Destination Marketing & Management,4.82,2018,2.98,2017,1.148,2017,1.534,2017
