Authors	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Abstract	Document Type	Publication Stage	Source
Akamatsu M.	7004976170	Handbook of automotive human factors	2019	Handbook of Automotive Human Factors				1	337	336	8	10.1201/9780429261060	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084855070&doi=10.1201%2f9780429261060&partnerID=40&md5=8649286a0c8b33d3f3d048149b6f787b	"Thanks to advances in computer technology in the last twenty years, navigation system, cabin environment control, ACC, advanced driver assistance system (ADAS) and automated driving have become a part of the automobile experience. Improvement in technology enables us to design these with greater flexibility and provide greater value to the driver (human centered design). To achieve this, research is required by laboratories, automobile and auto parts manufacturers. Although there has been a lot of effort in human factors research and development, starting from basic research to product development, the knowledge and experience has not been integrated optimally. The aim of this book is to collect and review the information for researchers, designers and developers to learn and apply them for further research and development of human centered design of future automotive technologies. Automotive human factors include psychological, physiological, mathematical, engineering and even sociological aspects. This book offers valuable insights to applying the right approach in the right place. © 2019 by Taylor & Francis Group, LLC. All rights reserved."	Book	Final	Scopus
Wobbrock J.O.	6603152369	Improving pointing in graphical user interfaces for people with motor impairments through ability-based design	2013	Assistive Technologies and Computer Access for Motor Disabilities				206	253	47	9	10.4018/978-1-4666-4438-0.ch008	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946009195&doi=10.4018%2f978-1-4666-4438-0.ch008&partnerID=40&md5=d2ae2c6c43642b793b9897eec843fcb5	"Pointing to targets in graphical user interfaces remains a frequent and fundamental necessity in modern computing systems. Yet for millions of people with motor impairments, children, and older users, pointing-whether with a mouse cursor, a stylus, or a finger on a touch screen-remains a major access barrier because of the fine-motor skills required. In a series of projects inspired by and contributing to ability-based design, we have reconsidered the nature and assumptions behind pointing, resulting in changes to how mouse cursors work, the types of targets used, the way interfaces are designed and laid out, and even how input devices are used. The results from these explorations show that people with motor difficulties can acquire targets in graphical user interfaces when interfaces are designed to better match the abilities of their users. Ability-based design, as both a design philosophy and a design approach, provides a route to realizing a future in which people can utilize whatever abilities they have to express themselves not only to machines, but to the world. © 2014 by IGI Global. All rights reserved."	Book chapter	Final	Scopus
El Miedany Y.	6701869309	Rheumatology Teaching: The Art and Science of Medical Education	2018	Rheumatology Teaching: The Art and Science of Medical Education				1	514	513	5	10.1007/978-3-319-98213-7	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128965989&doi=10.1007%2f978-3-319-98213-7&partnerID=40&md5=e8d29bb701689c37fb1a3ea1d495e950	"This book provides a comprehensive, state-of-the art overview of medical teaching methodologies with a particular focus on rheumatology. It discusses why teaching medicine requires a review, explains barriers to learning, outlines fresh teaching methods, and includes student-centered learning activities. It introduces novice medical teachers as well as more experienced educators to the exciting new models of medical education, innovative teaching approaches, and challenges they may face whether working in undergraduate, post-graduate, or continuous medical education. Since “Great teachers are made, not born”, this book presents the interactive pattern of the art and science of teaching and serves as a guide to becoming a highly effective medical educator. Rheumatology Teaching: The Art and Science of Medical Education is an essential text for physicians and related professionals who have special interest in medical education and particularly musculoskeletal teaching as well as instructors in nursing, physiotherapy, and physician assistant programs. © Springer Nature Switzerland AG 2019."	Book	Final	Scopus
Mirelman A.; Rochester L.; Maidan I.; Del Din S.; Alcock L.; Nieuwhof F.; Rikkert M.O.; Bloem B.R.; Pelosin E.; Avanzino L.; Abbruzzese G.; Dockx K.; Bekkers E.; Giladi N.; Nieuwboer A.; Hausdorff J.M.	35332484600; 7003666082; 35559165200; 36738992800; 55437030000; 55577201700; 16031714400; 7006266167; 12244507500; 6507283659; 7006922773; 57205357803; 56433550000; 7006084033; 6701466631; 7006799695	Addition of a non-immersive virtual reality component to treadmill training to reduce fall risk in older adults (V-TIME): a randomised controlled trial	2016	The Lancet	388	10050		1170	1182	12	290	10.1016/S0140-6736(16)31325-3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992390073&doi=10.1016%2fS0140-6736%2816%2931325-3&partnerID=40&md5=d581d1b62f7db498e9f982aae61acd6f	"Background Age-associated motor and cognitive deficits increase the risk of falls, a major cause of morbidity and mortality. Because of the significant ramifications of falls, many interventions have been proposed, but few have aimed to prevent falls via an integrated approach targeting both motor and cognitive function. We aimed to test the hypothesis that an intervention combining treadmill training with non-immersive virtual reality (VR) to target both cognitive aspects of safe ambulation and mobility would lead to fewer falls than would treadmill training alone. Methods We carried out this randomised controlled trial at five clinical centres across five countries (Belgium, Israel, Italy, the Netherlands, and the UK). Adults aged 60–90 years with a high risk of falls based on a history of two or more falls in the 6 months before the study and with varied motor and cognitive deficits were randomly assigned by use of computer-based allocation to receive 6 weeks of either treadmill training plus VR or treadmill training alone. Randomisation was stratified by subgroups of patients (those with a history of idiopathic falls, those with mild cognitive impairment, and those with Parkinson's disease) and sex, with stratification per clinical site. Group allocation was done by a third party not involved in onsite study procedures. Both groups aimed to train three times per week for 6 weeks, with each session lasting about 45 min and structured training progression individualised to the participant's level of performance. The VR system consisted of a motion-capture camera and a computer-generated simulation projected on to a large screen, which was specifically designed to reduce fall risk in older adults by including real-life challenges such as obstacles, multiple pathways, and distracters that required continual adjustment of steps. The primary outcome was the incident rate of falls during the 6 months after the end of training, which was assessed in a modified intention-to-treat population. Safety was assessed in all patients who were assigned a treatment. This study is registered with ClinicalTrials.gov, NCT01732653. Findings Between Jan 6, 2013, and April 3, 2015, 302 adults were randomly assigned to either the treadmill training plus VR group (n=154) or treadmill training alone group (n=148). Data from 282 (93%) participants were included in the prespecified, modified intention-to-treat analysis. Before training, the incident rate of falls was similar in both groups (10·7 [SD 35·6] falls per 6 months for treadmill training alone vs 11·9 [39·5] falls per 6 months for treadmill training plus VR). In the 6 months after training, the incident rate was significantly lower in the treadmill training plus VR group than it had been before training (6·00 [95% CI 4·36–8·25] falls per 6 months; p<0·0001 vs before training), whereas the incident rate did not decrease significantly in the treadmill training alone group (8·27 [5·55–12·31] falls per 6 months; p=0·49). 6 months after the end of training, the incident rate of falls was also significantly lower in the treadmill training plus VR group than in the treadmill training group (incident rate ratio 0·58, 95% CI 0·36–0·96; p=0·033). No serious training-related adverse events occurred. Interpretation In a diverse group of older adults at high risk for falls, treadmill training plus VR led to reduced fall rates compared with treadmill training alone. Funding European Commission. © 2016 Elsevier Ltd"	Article	Final	Scopus
Machado S.; Costa L.V.; Mealha Ó.	57226637951; 57221702490; 6507221454	Co-designing with Senior Citizens: A Systematic Literature Review	2021	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)	12786 LNCS			61	73	12	2	10.1007/978-3-030-78108-8_5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112137301&doi=10.1007%2f978-3-030-78108-8_5&partnerID=40&md5=0c57ce0824d5b21df8a19acc6cc07174	"The past few years have seen an increasing dependence on the use of Information and Communication Technologies and never had the design of age-friendly technologies been so important as nowadays, given the ageing population. Indeed, most of the software development projects designed for senior citizens rely on the designers’ assumptions of the users’ cognitive models, presenting the risk of falling into stereotypes and leading to products that end up not being used, which reinforces the need to involve older adults in the co-design process. This review of studies published in the last six years in the Scopus, Web of Science, and Google Scholar databases aims to understand the effectiveness of the application of co-design techniques in senior citizens. One hundred and forty-six eligible articles from a sample of 534 met inclusion criteria. Focus groups, Questionnaires, Low-fidelity/Paper Prototyping; Scenario-building, and Cultural Probes have been the most used techniques applied in this age segment. A set of recommendations was formulated such as the need to explain the technological terms prior to creative activities, involving the creation of technological artifacts and devoting time to create a sense of trust with the participants. © 2021, Springer Nature Switzerland AG."	Conference paper	Final	Scopus
Chen C.; Krieger M.L.; Sundar S.S.	57201937335; 57540997500; 7103328070	"Smartphones, robots, and social media: Aging with communication technologies"	2021	Handbook of the Psychology of Aging				139	153	14	0	10.1016/B978-0-12-816094-7.00014-3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126808687&doi=10.1016%2fB978-0-12-816094-7.00014-3&partnerID=40&md5=b819fe14081a590c13c1884a335d1640	"For older adults, technology is becoming indispensable. It is increasingly difficult to perform basic functions like hailing a cab, paying a bill, keeping in touch with loved ones, or remaining engaged with one’s social, cultural, and political networks without first navigating the complex material and symbolic world of modern communication technologies. Research has demonstrated that the use of information and communication technologies (ICTs) has the potential to facilitate the transcendence of social and spatial barriers, and that targeted interventions have the potential to motivate older adults to stay connected. But, for these actions to be realized as material gains in psychological or physiological well-being, one has to understand the complex mental processes that motivate and shape older adults’ technology use. We synthesize research, both theoretical and applied, across a range of disciplines in an attempt to sketch a portrait of seniors’ dynamic relationship with technology. We aim to highlight research that analyzes the needs and motivations that bring older adults into relationships with technology and the barriers to adoption that stifle the development of these human-machine partnerships. We summarize studies that examine the psychological mechanisms that underlie, and the subsequent effects of, seniors’ technology use, in the hope of furnishing a broad framework for understanding older adults’ rapidly evolving relationship with ICTs. In addition, we aim to provide suggestions that might orient future research and design of technology to facilitate a more active and productive correspondence between aging populations and their technological counterparts. © 2021 Elsevier Inc All rights reserved."	Book chapter	Final	Scopus
Veloso A.I.; Costa L.V.	35422995200; 57221702490	Game-playing for active ageing and healthy lifestyles	2021	Game-playing for active ageing and healthy lifestyles				1	143	142	2		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125970499&partnerID=40&md5=a5ba89397b027024746db393b7320afc	"Given the increase in the ageing population and the evolvement of the Human-Computer Interaction field to a much more humanistic approach, debate is ongoing about designing technology-enabled products for active ageing and healthy lifestyles. Indeed, the mainstream game industry has been challenged with the emergence of an older target group, the advancements in gamification and the proliferation of SMART devices. Previous experience in the field has revealed that for many older adult gamers, games had a therapeutic effect through them being both cognitively challenged and rewarded. However it has also revealed that the gaming industry was not fulfilling their other motivations and accessibility needs. Furthermore, research to date has focused on the physical and cognitive effects of video games in the aging process. Up to now, the use of other active ageing dimensions that go beyond the health domains (i.e. sense of security, and participation in society) in games addressed to this target group remain unexplored. Topics discussed in the book include: Development of products for the Silver Market; The older adult consumer and the advertisement industry; Differences between informational literacy and digital inclusion; Lifestyle-monitoring technologies and technological determinism; Positive computing and behavioral design; Game Design and Active Ageing; Application of games in rehabilitation; Gamification, Senior Tourism and the wellness market; Techniques used for assessing games for active ageing This book differs from current books on the market by focusing on games and the main implications to design for active ageing in terms of the market perspective, the information and communication society, behavioral design, mobility, urban and city planning, accessibility and assessment. The information presented in this book not only relies on case studies but also on the authors' previous experience in co-designing digitally-mediated products with both adult learners at the Universities of the Third Age and older adults at retirement homes. © 2021 River Publishers."	Book	Final	Scopus
Meneses Fernández M.D.; Santana Hernández J.D.; Martín Gutiérrez J.; Henríquez Escuela M.R.; Rodríguez Fino E.	55578028100; 54924661700; 57211089549; 57191537230; 55898984300	Using communication and visualization technologies with senior citizens to facilitate cultural access and self-improvement	2017	Computers in Human Behavior	66			329	344	15	25	10.1016/j.chb.2016.10.001	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991489830&doi=10.1016%2fj.chb.2016.10.001&partnerID=40&md5=28ad769cb901aea58030895ba49715d2	"This paper presents the results of research that explores the social impacts and benefits of using digital visualization technologies, which include Augmented Reality (AR), Virtual Reality (VR) and Quick Response codes (QR codes). The target group for this study was senior citizens in an adult day care centre. This group was selected for two reasons: firstly, for belonging to a generation that has not grown up surrounded by digital technologies; and secondly, for therefore being at a disadvantage when it comes to adopting and using modern day information and communication technologies. Research was focused on the potential benefits of digital technologies and also on how senior citizens responded towards them, in particular how they felt these technologies were improving their social and personal well-being. Digital technologies were introduced into the day-to-day lives of senior citizens, providing them with a variety of alternative ways to access social media, communication tools or cultural content. Using digital technologies, they were also asked to perform activities related to their own personal and social well-being. © 2016 Elsevier Ltd"	Article	Final	Scopus
Friedenberg J.	6602553409	The future of the self: An interdisciplinary approach to personhood and identity in the digital age	2020	The Future of the Self: An Interdisciplinary Approach to Personhood and Identity in the Digital Age				1	329	328	1		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104411472&partnerID=40&md5=151c0abdd8e526bbeaa79f5e42427395	"We live in the digital age where our sense of self and identity has moved beyond the body to encompass hardware and software. Cyborgs, online representations in social media, avatars, and virtual reality extend our notion of what it means to be human. This book looks at the progression of self from the biological to the technological using a multidisciplinary approach. It examines the notion of personhood from philosophical, psychological, neuroscience, robotics, and artificial intelligence perspectives, showing how the interface between bodies, brains, and technology can give rise to new forms of human identity. Jay Friedenberg presents the content in an organized and easy-to-understand fashion to facilitate learning. A gifted researcher, author, and classroom teacher, he is one of the most influential voices in the field of artificial psychology. © 2020 by Jay Friedenberg."	Book	Final	Scopus
Goumopoulos C.; Drakakis E.; Gklavakis D.	16303618500; 57491561300; 57982267400	Feasibility and Acceptance of Augmented and Virtual Reality Exergames to Train Motor and Cognitive Skills of Elderly	2023	Computers	12	3	52				1	10.3390/computers12030052	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150974894&doi=10.3390%2fcomputers12030052&partnerID=40&md5=c6deed24735a9cdd84b23599e6394b97	"The GAME2AWE platform aims to provide a versatile tool for elderly fall prevention through exergames that integrate exercises, and simulate real-world environments and situations to train balance and reaction time using augmented and virtual reality technologies. In order to lay out the research area of interest, a review of the literature on systems that provide exergames for the elderly utilizing such technologies was conducted. The proposed use of augmented reality exergames on mobile devices as a complement to the traditional Kinect-based approach is a method that has been examined in the past with younger individuals in the context of physical activity interventions, but has not been studied adequately as an exergame tool for the elderly. An evaluation study was conducted with seniors, using multiple measuring scales to assess aspects such as usability, tolerability, applicability, and technology acceptance. In particular, the Unified Theory of Acceptance and Use of Technology (UTAUT) model was used to assess acceptance and identify factors that influence the seniors’ intentions to use the game platform in the long term, while the correlation between UTAUT factors was also investigated. The results indicate a positive assessment of the above user experience aspects leveraging on both qualitative and quantitative collected data. © 2023 by the authors."	Article	Final	Scopus
