Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Source
Firouzi E.; Sami A.,57208248547; 7004124604,"Visual studio automated refactoring tool should improve development time, but resharper led to more solution-build failures",2019,MAINT 2019 - 2019 IEEE 2nd International Workshop on Mining and Analyzing Interaction Histories,,,8666936,2,6,4,3,10.1109/MAINT.2019.8666936,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064202412&doi=10.1109%2fMAINT.2019.8666936&partnerID=40&md5=0fae858adbd9077b2b68b9b4f941a04e,"Several studies showed effectiveness of manual refactoring. Thus, automated refactoring tools in Visual Studio are expected to have positive effects on the success rate of 'Builds'. Few studies have actually investigated automated refactoring tools impact in this aspect. In addition, we have investigated test results, commits and undo changes into version control system (VCS) also. Firstly, if the number of successful compilation of session solution 'Builds' is considered as a metric, our investigation on Enriched Event Stream Dataset showed use of ReSharper has lowered the success rate of builds, introduced errors and may have increased the development time.Secondly, test error rates decreased when ReSharper tools are used aligned with previous studies on software testing. Finally, percentage of commits has significantly increased and reverts decreased on use of ReSharper. Overall, despite some positive impacts that the automated refactoring tool of Visual Studio had, our study showed that the automated suggestions and changes that ReSharper has made are not completely trustable. Our research suggests that ReSharper may not consider a global view of the solution. © 2019 IEEE.",Conference paper,Final,Scopus
Mohan M.; Greer D.; McMullan P.,57189345360; 35228903500; 7003939217,Maximizing refactoring coverage in an automated maintenance approach using multi-objective optimization,2019,"Proceedings - 2019 IEEE/ACM 3rd International Workshop on Refactoring, IWOR 2019",,,8844417,31,38,7,1,10.1109/IWoR.2019.00014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073463574&doi=10.1109%2fIWoR.2019.00014&partnerID=40&md5=968cdd058450dad59afb35d9493f0641,"This paper describes a multi-objective genetic algorithm used to automate software refactoring. The approach is validated using a set of open source Java programs with a purpose built tool, MultiRefactor. The tool uses a metric function to measure quality in a software system and tests a second objective to measure the amount of code coverage of the applied refactorings by analyzing the code elements they have been applied to. The multi-objective setup will refactor the input program to improve its quality using the quality objective, while also maximizing the code coverage of the refactorings applied to the software. An experiment has been constructed to measure the multi-objective approach against the alternative mono-objective approach that does not use an objective to measure refactoring coverage. The two approaches are tested on six different open source Java programs. The multi-objective approach is found to give significantly better refactoring coverage scores across all inputs in a similar time, while also generating improvements in the quality scores. © 2019 IEEE.",Conference paper,Final,Scopus
Zhang J.; Han S.; Hao D.; Zhang L.; Zhang D.,36505536200; 55487844700; 23388889700; 56275778800; 55717568500,Automated refactoring of Nested-IF formulae in spreadsheets,2018,ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,,833,838,5,9,10.1145/3236024.3275532,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058285003&doi=10.1145%2f3236024.3275532&partnerID=40&md5=c0c93fcc841b6040b28ed5274c026771,"Nest-IF expressions have low readability and maintainability. This paper proposes the first exploration of the nest-if usage status against two large-scale spreadsheet corpora containing over 80,000 industry-level spreadsheets. We found the use of nested-IF expressions are surprisingly common among end users. We then present an approach to tackling this problem through automatic formula refactoring. The general idea is two-fold. First, we detect and remove logic redundancy based on the AST of a formula. Second, we identify higher-level semantics that have been represented with fragmented and scattered syntax, and reassemble the syntax using concise built-in functions. A comprehensive evaluation with over 28 million nested-IF formulae reveals that the approach is able to relieve the smell of over 90% of nested-IF formulae. © 2018 Association for Computing Machinery.",Conference paper,Final,Scopus
Kohler M.; Salvaneschi G.,56396113300; 35867883400,Automated refactoring to reactive programming,2019,"Proceedings - 2019 34th IEEE/ACM International Conference on Automated Software Engineering, ASE 2019",,,8952329,835,846,11,2,10.1109/ASE.2019.00082,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078916950&doi=10.1109%2fASE.2019.00082&partnerID=40&md5=7e5ba3f4d4085c23fc504edcd049f09a,"Reactive programming languages and libraries, such as ReactiveX, have been shown to significantly improve software design and have seen important industrial adoption over the last years. Asynchronous applications-which are notoriously error-prone to implement and to maintain-greatly benefit from reactive programming because they can be defined in a declarative style, which improves code clarity and extensibility. In this paper, we tackle the problem of refactoring existing software that has been designed with traditional abstractions for asynchronous programming. We propose 2Rx, a refactoring approach to automatically convert asynchronous code to reactive programming. Our evaluation on top-starred GitHub projects shows that 2Rx is effective with the most common asynchronous constructs, covering 12.7% of projects with asynchronous computations, and it can provide a refactoring for 91.7% of their occurrences. © 2019 IEEE.",Conference paper,Final,Scopus
Cao S.; Zhao Y.; Shi L.,57215353666; 36122020600; 55248604900,Software complexity reduction by automated refactoring schema,2019,"Proceedings - 2019 13th International Symposium on Theoretical Aspects of Software Engineering, TASE 2019",,,8914118,208,215,7,1,10.1109/TASE.2019.00005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076943993&doi=10.1109%2fTASE.2019.00005&partnerID=40&md5=f93b5279cfb343f038039cd4e37e4350,"As the scale of software systems is growing rapidly, software complexity is becoming one of the main problems in software engineering. Higher complexity in software increases the potential risk and defects of software system, which makes it more difficult to analyze the correctness and improve the quality of software. In this paper, we present an automated refactoring schema to reduce the complexity of the component-based software. The main idea of our approach is to search a hierarchical software with a minimum hierarchical complexity and refactor the original software into it by reassembling several subcomponents into tightly coupled hierarchical ones. Besides, our approach can be easily adjusted to deal with some new situations, in which several types of constraints on partition of software components are given. Finally, we conduct a case study with Battery Management System (BMS) and the result demonstrates our approach can automatically and effectively reduce the structural complexity of software system. © 2019 IEEE.",Conference paper,Final,Scopus
Zhang Y.; Liu C.-G.; Zhang D.-W.; Zheng K.; Zheng Y.-J.,55816561700; 57205198637; 35303919200; 57205196717; 57205198670,Software Refactoring for Java Threads; [??Java????????????],2018,Beijing Ligong Daxue Xuebao/Transaction of Beijing Institute of Technology,38,11,,1149,1155,6,0,10.15918/j.tbit1001-0645.2018.11.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058997834&doi=10.15918%2fj.tbit1001-0645.2018.11.008&partnerID=40&md5=80b57bae973187fd304401168e25fd32,"Java thread mechanisms, such as Thread and Executor, are different in the thread management pattern, code and the performance. To implement the automated refactoring between different thread mechanism and help programmers to choose the right thread mechanism, an automated refactoring method was proposed for Java thread mechanism able refactoring between Thread and Executor. To test the validity of the method, an automated refactoring tool named Rethreader was developed in Eclipse JDT. In the experimentation, several programs in the Java Grande Form (JGF) were tested, including Series, Crypt, Lufact, Sparsematmult and montecarlo. The experimental results show that the Rethreader can successfully implement the automatic refactoring from Thread to Executor within 1 s. © 2018, Editorial Department of Transaction of Beijing Institute of Technology. All right reserved.",Article,Final,Scopus
Rahman M.M.; Riyadh R.R.; Khaled S.M.; Satter A.; Rahman M.R.,57212184356; 57193994052; 35435302100; 57190971473; 55976708200,"MMRUC3: A recommendation approach of move method refactoring using coupling, cohesion, and contextual similarity to enhance software design",2018,Software - Practice and Experience,48,9,,1560,1587,27,6,10.1002/spe.2591,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047658999&doi=10.1002%2fspe.2591&partnerID=40&md5=917725e95eb083675aa7168f44262761,"Placement of methods is one of the most important design activities for any object-oriented application in terms of coupling and cohesion. Due to method misplacement, the application becomes tightly coupled and loosely cohesive, reflecting inefficient design. Therefore, a feature envy code smell emerges from the application, as many methods use more features of other classes than its current class. Hence, development and maintenance time, cost, and effort are increased. To refactor the code smell and enhance the design quality, move method refactoring plays a significant role through grouping similar behaviors of methods. This is because the manual refactoring process is infeasible due to the necessity of huge time and most of the existing techniques consider only coupling-based and/or cohesion-based information of nonstatic entities (methods and attributes) for the recommendation. However, this article proposes an approach that uses contextual information, based on information retrieval techniques, along with dependency (coupling and cohesion)-based information of the application for the recommendation. In addition, the approach incorporates both static and nonstatic entities in the recommendation process. For validation, the approach is applied on seven well-known open source projects. The results of the experimental evaluation indicate that the proposed approach provides better results with an average precision of 18.91%, a recall of 69.91%, and an F-measure of 29.77% than the JDeodorant tool (a widely used eclipse plugin for refactorings). Moreover, this article establishes several relationships between the accuracy of the approach and project standards and sizes. Copyright © 2018 John Wiley & Sons, Ltd.",Article,Final,Scopus
Singh S.; Kaur S.,7407874009; 57215553685,A systematic literature review: Refactoring for disclosing code smells in object oriented software,2018,Ain Shams Engineering Journal,9,4,,2129,2151,22,53,10.1016/j.asej.2017.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015808258&doi=10.1016%2fj.asej.2017.03.002&partnerID=40&md5=5c660ecb8b2ded05a6eade8de60650ca,"Context: Reusing a design pattern is not always in the favor of developers. Thus, the code starts smelling. The presence of “Code Smells” leads to more difficulties for the developers. This racket of code smells is sometimes called Anti-Patterns. Objective: The paper aimed at a systematic literature review of refactoring with respect to code smells. However the review of refactoring is done in general and the identification of code smells and anti-patterns is performed in depth. Method: A systematic literature survey has been performed on 238 research items that includes articles from leading Conferences, Workshops and premier journals, theses of researchers and book chapters. Results: Several data sets and tools for performing refactoring have been revealed under the specified research questions. Conclusion: The work done in the paper is an addition to prior systematic literature surveys. With the study of paper the attentiveness of readers about code smells and anti-patterns will be enhanced. © 2017",Article,Final,Scopus
Guggulothu T.; Moiz S.A.,57208908165; 23467539000,An Approach to Suggest Code Smell Order for Refactoring,2019,Communications in Computer and Information Science,985,,,250,260,10,8,10.1007/978-981-13-8300-7_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066074957&doi=10.1007%2f978-981-13-8300-7_21&partnerID=40&md5=b852aa710e8ca62c4702e4152cf35bcc,"Code smell is an indicator of issues in source code qualities that may hinder maintenance, and evolution. Source code metrics are used to measure the quality of the code. In the literature, there are many code smells, refactoring techniques, and refactoring tools. However, a software project often contains thousands of code smells and many of them have no relation with design quality. It is a challenge for developers to decide which kind of code smell should be refactored first. We have proposed an approach that suggests a code smell order based on two aspects: (1) finding relevant metrics for each code smell dataset with the help of feature selection technique (2) analyzing the internal relation among the code smells with those relevant metrics. With this analysis, we are suggesting code smell order for developers to save their effort in the refactoring stage. The suggested order is evaluated on simple java source code. © 2019, Springer Nature Singapore Pte Ltd.",Conference paper,Final,Scopus
Wild A.; Porter B.,57204136034; 13604663600,General Program Synthesis Using Guided Corpus Generation and Automatic Refactoring,2019,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11664 LNCS,,,89,104,15,2,10.1007/978-3-030-27455-9_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072869774&doi=10.1007%2f978-3-030-27455-9_7&partnerID=40&md5=1d1dde942fe44c54472194f307eaeae7,"Program synthesis aims to produce source code based on a user specification, raising the abstraction level of building systems and opening the potential for non-programmers to synthesise their own bespoke services. Both genetic programming (GP) and neural code synthesis have proposed a wide range of approaches to solving this problem, but both have limitations in generality and scope. We propose a hybrid search-based approach which combines (i) a genetic algorithm to autonomously generate a training corpus of programs centred around a set of highly abstracted hints describing interesting features; and (ii) a neural network which trains on this data and automatically refactors it towards a form which makes a more ideal use of the neural network’s representational capacity. When given an unseen program represented as a small set of input and output examples, our neural network is used to generate a rank-ordered search space of what it sees as the most promising programs; we then iterate through this list up to a given maximum search depth. Our results show that this approach is able to find up to 60% of a human-useful target set of programs that it has never seen before, including applying a clip function to the values in an array to restrict them to a given maximum, and offsetting all values in an array. © Springer Nature Switzerland AG 2019.",Conference paper,Final,Scopus
