Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Source
Ferguson R.B.,26036012000,"Chimpanzees, War, and History: Are Men Born to Kill?",2023,"Chimpanzees, War, and History: Are Men Born to Kill?",,,,1,560,559,1,10.1093/oso/9780197506752.001.0001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174097352&doi=10.1093%2foso%2f9780197506752.001.0001&partnerID=40&md5=9847d529c45aecc9611756cffcdfbcd5,"The question of whether men are predisposed to war runs hot in contemporary scholarship and online discussion. Within this debate, chimpanzee behavior is often cited to explain humans' propensity for violence; the claim is that male chimpanzees kill outsiders because they are evolutionarily inclined, suggesting to some that people are too. The longstanding critique that killing is instead due to human disturbance has been pronounced dead and buried. In Chimpanzees, War, and History, R. Brian Ferguson challenges this consensus. By historically contextualizing every reported chimpanzee killing, Ferguson offers and empirically substantiates two hypotheses. Primarily, he provides detailed demonstration of the connection between human impact and intergroup killing of adult chimpanzees. Secondarily, he argues that killings within social groups reflect status conflicts, display violence against defenseless individuals, and payback killings of fallen status bullies. Ferguson also explains broad chimpanzee-bonobo differences in violence through constructed and transmitted social organizations consistent with new perspectives in evolutionary theory. He deconstructs efforts to illuminate human warfare via chimpanzee analogy, and provides an alternative anthropological theory grounded in Pan-human contrasts that is applicable to different types of warfare. Bringing readers on a journey through theoretical struggle and clashing ideas about chimpanzees, bonobos, and evolution, Ferguson opens new ground on the age-old question—are men born to kill? © Oxford University Press 2023.",Book,Final,Scopus
Kowsar R.; Rahimi A.M.; Sroka M.; Mansouri A.; Sadeghi K.; Bonakdar E.; Kateb S.F.; Mahdavi A.H.,55907006000; 57222397049; 57787402000; 57075972800; 55560526100; 36997101400; 57787998000; 36027646400,Risk of mortality in COVID-19 patients: a meta- and network analysis,2023,Scientific Reports,13,1,2138,,,,9,10.1038/s41598-023-29364-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147460806&doi=10.1038%2fs41598-023-29364-8&partnerID=40&md5=92b89849b925e079b2d3d1f1e7d67d1d,"Understanding the most relevant hematological/biochemical characteristics, pre-existing health conditions and complications in survivors and non-survivor will aid in predicting COVID-19 patient mortality, as well as intensive care unit (ICU) referral and death. A literature review was conducted for COVID-19 mortality in PubMed, Scopus, and various preprint servers (bioRxiv, medRxiv and SSRN), with 97 observational studies and preprints, consisting of survivor and non-survivor sub-populations. This meta/network analysis comprised 19,014 COVID-19 patients, consisting of 14,359 survivors and 4655 non-survivors. Meta and network analyses were performed using META-MAR V2.7.0 and PAST software. The study revealed that non-survivors of COVID-19 had elevated levels of gamma-glutamyl transferase and creatinine, as well as a higher number of neutrophils. Non-survivors had fewer lymphocytes and platelets, as well as lower hemoglobin and albumin concentrations. Age, hypertension, and cerebrovascular disease were shown to be the most influential risk factors among non-survivors. The most common complication among non-survivors was heart failure, followed by septic shock and respiratory failure. Platelet counts, creatinine, aspartate aminotransferase, albumin, and blood urea nitrogen levels were all linked to ICU admission. Hemoglobin levels preferred non-ICU patients. Lower levels of hemoglobin, lymphocytes, and albumin were associated with increased mortality in ICU patients. This meta-analysis showed that inexpensive and fast biochemical and hematological tests, as well as pre-existing conditions and complications, can be used to estimate the risk of mortality in COVID-19 patients. © 2023, The Author(s).",Article,Final,Scopus
Mastrogregori M.,24470413400,International bibliography of historical sciences,2021,International Bibliography Of Historical Sciences,,,,1,407,406,0,10.1515/9783110726084,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173478095&doi=10.1515%2f9783110726084&partnerID=40&md5=a9965bfe3092675efda88be895d138cb,"Every year, the Bibliography catalogues the most important new publications, historiographical monographs, and journal articles throughout the world, extending from prehistory and ancient history to the most recent contemporary historical studies. Within the systematic classification according to epoch, region, and historical discipline, works are also listed according to author's name and characteristic keywords in their title. © 2022 Walter de Gruyter GmbH, Berlin/Boston. All rights reserved.",Book,Final,Scopus
Boechat J.L.; Chora I.; Morais A.; Delgado L.,6603641795; 56521712000; 7006325241; 57200560783,The immune response to SARS-CoV-2 and COVID-19 immunopathology – Current perspectives,2021,Pulmonology,27,5,,423,437,14,100,10.1016/j.pulmoe.2021.03.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104312008&doi=10.1016%2fj.pulmoe.2021.03.008&partnerID=40&md5=192825d415466c219e68bc44003775f1,"SARS-CoV-2 is a new beta coronavirus, similar to SARS-CoV-1, that emerged at the end of 2019 in the Hubei province of China. It is responsible for coronavirus disease 2019 (COVID-19), which was declared a pandemic by the World Health Organization on March 11, 2020. The ability to gain quick control of the pandemic has been hampered by a lack of detailed knowledge about SARS-CoV-2-host interactions, mainly in relation to viral biology and host immune response. The rapid clinical course seen in COVID-19 indicates that infection control in asymptomatic patients or patients with mild disease is probably due to the innate immune response, as, considering that SARS-CoV-2 is new to humans, an effective adaptive response would not be expected to occur until approximately 2–3 weeks after contact with the virus. Antiviral innate immunity has humoral components (complement and coagulation-fibrinolysis systems, soluble proteins that recognize glycans on cell surface, interferons, chemokines, and naturally occurring antibodies) and cellular components (natural killer cells and other innate lymphocytes). Failure of this system would pave the way for uncontrolled viral replication in the airways and the mounting of an adaptive immune response, potentially amplified by an inflammatory cascade. Severe COVID-19 appears to be due not only to viral infection but also to a dysregulated immune and inflammatory response. In this paper, the authors review the most recent publications on the immunobiology of SARS-CoV-2, virus interactions with target cells, and host immune responses, and highlight possible associations between deficient innate and acquired immune responses and disease progression and mortality. Immunotherapeutic strategies targeting both the virus and dysfunctional immune responses are also addressed. © 2021 Sociedade Portuguesa de Pneumologia",Review,Final,Scopus
Agnihotri M.; Chug A.,57218920285; 56168650500,Severity Factor (SF): An aid to developers for application of refactoring operations to improve software quality,2023,Journal of Software: Evolution and Process,,,,,,,0,10.1002/smr.2590,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161376319&doi=10.1002%2fsmr.2590&partnerID=40&md5=cfcc14f70b9109e9e7de97c7d9f453cf,"Bad smells are certain flaws in the structure of the code that might not disturb the normal functioning of a program but negatively affects the software quality. Developers use refactoring as a corrective measure for the treatment of bad smells. The current study aids the developers in the application of refactoring by identifying the critical classes, that is, classes that are challenging to maintain and are of degraded quality. In this study, 10 quality metrics and 10 bad smells have been selected to conduct an investigation on different releases of five open-source systems. A new metric, severity factor (SF) has been introduced that categorizes the classes of the selected systems into four criticality levels—severe, major, mid, and low. Also, the relationship between SF, criticality levels, and the refactoring operations has been analyzed. The findings show that 60% of the total classes have been affected by bad smells, and long statement is the most dominant smell present in 27.6% of the classes. The results show 84% of the refactoring operations have been performed on highly critical classes. Thus, the SF metric plays a crucial role in driving the developer's attention to the critical classes that need to be treated urgently. © 2023 John Wiley & Sons Ltd.",Article,Article in press,Scopus
McGee S.,7004322344,"Evidence-based Physical Diagnosis, Second Edition",2007,"Evidence-Based Physical Diagnosis, Second Edition",,,,1,856,855,0,10.1016/B978-1-4160-2898-7.X5001-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159426115&doi=10.1016%2fB978-1-4160-2898-7.X5001-1&partnerID=40&md5=db39b2006b44adcc5cfff8da990472db,"Diagnose with confidence, knowing that your patient assessments are backed by scientific evidence! This is the only clinical reference that takes an evidence-based approach to the physical examination. Best of all, it does so in a remarkably easy-to-reference manner - making it simple to find the available scientific evidence concerning the diagnostic significance and accuracy of your examination findings. This 2nd Edition has been updated to reflect the latest advances in the science of physical examination, and expanded to include many new topics. © 2007 Elsevier Inc. All rights reserved",Book,Final,Scopus
Suskauer S.J.; Kurowski B.G.; Slomine B.S.; Evanson N.K.; Yeh N.,7801643293; 6602680856; 6603351194; 8598772900; 8653151600,Acquired brain injury,2020,Pediatric Rehabilitation: Principles and Practice,,,,294,318,24,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118701304&partnerID=40&md5=e71a28b9ad24828069d76cda2eb65acc,[No abstract available],Book chapter,Final,Scopus
Tang C.; He X.; Fu W.; Du Y.; Huang Y.; Liu L.; Lan W.; Luo R.; Liu Y.,57920125000; 57919952600; 58590662000; 57920294800; 57227810200; 57917074400; 57225993155; 57920642700; 57194799983,Efficacy and safety of acupuncture in the treatment of the sequela of olfactory disorders after infection with COVID-19: A protocol for systematic review and meta analysis,2022,Medicine (United States),101,39,,E30844,,,1,10.1097/MD.0000000000030844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139522559&doi=10.1097%2fMD.0000000000030844&partnerID=40&md5=26009e668cf6d9ce683c8f47434b65d6,"Background: From the end of 2019 to now, coronavirus disease 2019 (COVID-19) has put enormous strain on the world's health systems. As a characteristic sign of COVID-19 patient, olfactory dysfunction (OD) poses considerable problems for patients. In China, acupuncture has been widely used to treat OD caused by COVID-19, but there is still a lack of evidence-based medical evaluation. This study was designed to evaluate the effectiveness and safety of acupuncture for the treatment of COVID-19 OD. Methods: According to the retrieval strategies, randomized controlled trials on the acupuncture for COVID-19 OD were obtained from Cochrane Central Register of Controlled Trials, Embase, PubMed, Web of Science, the Chinese National Knowledge Infrastructure, the Chinese Biomedical Literature Database, the Chinese Scientific Journal Database and the Wanfang Database, regardless of publication date, or language. Studies were screened based on inclusion and exclusion criteria, and the Cochrane risk bias assessment tool was used to evaluate the quality of the studies. The meta-analysis was performed using Review Manager (RevMan 5.3) and STATA 14.2 software. Ultimately, the evidentiary grade for the results will be evaluated. Results: The results of this meta-analysis will be submitted to a peer-reviewed journal for publication. Conclusion: This study will provide up-to-date summary proof for evaluating the effectiveness and safety of acupuncture for COVID-19 OD. © 2022 Lippincott Williams and Wilkins. All rights reserved.",Review,Final,Scopus
Nagu P.; Parashar A.; Behl T.; Mehta V.,57220959807; 56609961400; 56560241200; 56992346600,CNS implications of COVID-19: A comprehensive review,2021,Reviews in the Neurosciences,32,2,,219,234,15,62,10.1515/revneuro-2020-0070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097949477&doi=10.1515%2frevneuro-2020-0070&partnerID=40&md5=7ca02f5b2793e5932b903619ca5ed4f2,"COVID-19 was first reported in December 2019 in the Wuhan city of China, and since then it has spread worldwide taking a heavy toll on human life and economy. COVID-19 infection is commonly associated with symptoms like coughing, fever, and shortness of breath, besides, the reports of muscle pain, anosmia, hyposmia, and loss of taste are becoming evident. Recent reports suggest the pathogenic invasion of the SARS-CoV-2 into the CNS, that could thereby result in devastating long term complications, primarily because some of these complications may go unnoticed for a long time. Evidence suggest that the virus could enter the CNS through angiotensin-converting enzyme-2 (ACE-2) receptor, neuronal transport, haematogenous route, and nasal route via olfactory bulb, cribriform plate, and propagates through trans-synaptic signalling, and shows retrograde movement into the CNS along nerve fiber. COVID-19 induces CNS inflammation and neurological degenerative damage through a diverse mechanism which includes ACE-2 receptor damage, cytokine-associated injury or cytokine storm syndrome, secondary hypoxia, demyelination, blood-brain barrier disruption, neurodegeneration, and neuroinflammation. Viral invasion into the CNS has been reported to show association with complications like Parkinsonism, Alzheimer's disorder, meningitis, encephalopathy, anosmia, hyposmia, anxiety, depression, psychiatric symptoms, seizures, stroke, etc. This review provides a detailed discussion of the CNS pathogenesis of COVID-19. Authors conclude that the COVID-19 cannot just be considered as a disorder of the pulmonary or peripheral system, rather it has a significant CNS involvement. Therefore, CNS aspects of the COVID-19 should be monitored very closely to prevent long term CNS complications, even after the patient has recovered from COVID-19. © 2020 Walter de Gruyter GmbH, Berlin/Boston 2020.",Article,Final,Scopus
Ferrari M.; Taboni S.; Contro G.; Nicolai P.,57226266136; 57195956956; 57211868816; 7005378462,Precision Medicine in the Treatment of Malignancies Involving the Ventral Skull Base: Present and Future,2023,Critical Issues in Head and Neck Oncology: Key Concepts from the Eighth THNO Meeting,,,,237,291,54,1,10.1007/978-3-031-23175-9_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171004176&doi=10.1007%2f978-3-031-23175-9_16&partnerID=40&md5=0e856abb2d6f74699d40a48ad342a13d,"Cancers involving the ventral skull base are rare and exceedingly heterogeneous. The variety of malignant tumors that arise in the nasal cavity, paranasal sinuses, nasopharynx, and adjacent mesenchymal tissues translates into a proportionally vast spectrum of prognoses, with some histologies such as olfactory neuroblastoma being associated with rare disease-specific death to other histologies such as mucosal melanoma for which survival beyond 5 years is considered a fortunate exception. Parallel to prognosis, treatment of sinonasal cancers is complex, controversial, and deeply dependent upon the putative pretreatment diagnosis. Given their heterogeneity, cancers of the ventral skull base are particularly prone to multidisciplinary management, which is indispensable. The therapeutic options available to date for these cancers include surgery, which currently remains the mainstay of treatment in most cases, along with radiotherapy and chemotherapy. Biotherapy and immunotherapy are only anecdotally and compassionately used. For each histology, a careful selection of modalities and their timing is paramount to ensure the best chance of cure. In keeping with the principles of precision medicine, several nuances displayed by malignancies of the ventral skull base are being considered as treatment-driving characteristics. This current trend arose from the observation that a remarkable variability of behavior can be observed even within a single histology. Although evidence is lacking in this field and several potential customizations of treatment are still at a theoretical level, understanding of these cancers is rapidly evolving and practical applications of this increasing knowledge is the much-needed step forward in the management of such rare cancers. This chapter highlights the tumor characteristics that may serve as treatment-driving factors in the most relevant cancers invading the ventral skull base. © The Editor(s) (if applicable) and The Author(s) 2023.",Book chapter,Final,Scopus
