Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Source
Teixeira P.; Eusébio C.; Teixeira L.,24545004500; 47961796400; 22434117100,Diversity of Web accessibility in tourism: Evidence based on a literature review,2021,Technology and Disability,33,4,,253,272,19,7,10.3233/TAD-210341,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120377599&doi=10.3233%2fTAD-210341&partnerID=40&md5=a645f9ad0a06f635911451b2babca724,"BACKGROUND: In the tourism industry, people with disabilities (PwD) are frequently excluded from certain activities. The Internet is one of the most used information sources for planning tourism trips. However, the level of accessibility of information disseminated by the tourism industry through websites is still very low. OBJECTIVE: This study aims to explore the existence of diversity in Web accessibility in the tourism industry. METHODS: A systematic literature review method was used for the identification, selection, and evaluation of the published research on Web accessibility in the tourism industry. A set of 40 papers obtained from relevant scientific databases, and complemented with a snowballing effect, was synthesized and analyzed. RESULTS: Low levels of diversity of Web accessibility were found in the different tourism activities analyzed. The majority of studies published in this field are relatively recent and both manual and automated methods were employed. Web accessibility failures were mainly related to lack of connectivity with assistive technologies, complex layout, and navigation difficulties. CONCLUSION: The results obtained in this systematic literature review provide important contributions to increase knowledge of Web accessibility in the tourism industry. Moreover, practical and theoretical contributions can help Web developers creating more accessible tourism websites.  © 2021-IOS Press. All rights reserved.",Review,Final,Scopus
Valtolina S.; Fratus D.,8730617200; 58069061300,Local Government Websites Accessibility: Evaluation and Finding from Italy,2022,Digital Government: Research and Practice,3,3,17,,,,5,10.1145/3528380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138157909&doi=10.1145%2f3528380&partnerID=40&md5=9d91b07f59bd5b15f55ae1e8e0413f89,"The Internet is dramatically changing the way that governments serve their citizens. Ensuring the municipal website is accessible to all citizens needs to be a top priority on the public digital marketing to-do list. Specifically, when we are in the presence of citizens who suffer from a specific impairment or technical hindrance, local governments have to provide them with equal access to their services. Starting from an analysis of the generic theoretical and legislative framework to which each municipality website must adhere, the paper investigates accessibility issues of local government websites taking into account specifically Italy's case. The Italian federal law, which is also known as the Stanca Act, aims to support access to information technologies for the disabled and addresses accessibility considerations in Italy. For ensuring that Italian government websites meet specific accessibility requirements, in this paper, we propose an evaluation strategy defined by an analysis of two validators: AChecker and VaMolà. 7,713 homepages were evaluated against WCAG 2.0 and Stanca Law recommendations. The analysis of results reveals relatively low web accessibility of municipal websites but highlights how to solve several of them is not a complex task also for non-technical users. For this reason, we developed a web application that allows municipality personnel to change the code of the homepage of a given municipality. All this can be made possible through the implementation of textual suggestions and the correct positional identification of the error within the HTML code of the page in question. Finally, the paper gives some directions on how to adapt the presented methodology for checking accessibility issues of local government websites of other countries. © 2022 Copyright held by the owner/author(s).",Article,Final,Scopus
Yeratziotis A.; Zaphiris P.,34876032000; 6602402531,A Heuristic Evaluation for Deaf Web User Experience (HE4DWUX),2018,International Journal of Human-Computer Interaction,34,3,,195,217,22,22,10.1080/10447318.2017.1339940,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028566064&doi=10.1080%2f10447318.2017.1339940&partnerID=40&md5=ea32732095e09d59d52e27a7f87afb3e,"Websites that are usable and accessible can have a positive impact on the overall user experience. Usability Inspection Methods (UIMs) can be applied to evaluate and measure the usability. The current research in the fields of Web Accessibility and Human –Computer Interaction (HCI) is in need of additional UIMs that can be applied to also measure the accessibility, in addition to the usability alone. In this article, a novel UIM in the form of a heuristic evaluation is presented. The heuristic evaluation aims to support HCI experts and Web developers in designing and evaluating websites that provide positive user experiences to users who are deaf. This article discusses the development of the Heuristic Evaluation for Deaf Web User Experience (HE4DWUX). Following an iteration cycle, version 2 of the HE4DWUX is presented in Appendix A. An existing three-phase process to develop heuristics for specific application domains was applied to construct the HE4DWUX. The outcome of this research is 12 heuristics, with each containing its own set of checklist items to operationalize its applicability in measuring the Web user experience for users who are deaf. The heuristics and their checklist items can identify important aspects of design that will impact the Web user experience for this particular user group. © 2017 Taylor & Francis Group, LLC.",Article,Final,Scopus
Rodrigues L.A.C.; Prietch S.S.,57204694556; 55925755100,"Analysis, redesign and validation of accessibility resources applied to an official electronic journal for the promotion of equal access to public acts",2018,ACM International Conference Proceeding Series,,,8,,,,2,10.1145/3274192.3274200,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056703682&doi=10.1145%2f3274192.3274200&partnerID=40&md5=9d2f8fa83753a5e2df2380006e5aceb9,"In order to meet demands for transparency, broad access and disclosure of public authority information in a Brazilian State, analysis, redesign and validation of an Official Electronic Journal (DOE) was realized based on recommendations to promote accessible websites and using different assessment techniques. Thereby, to make an inclusive redesign, according to the need pointed out by the company responsible for the system, aspects related to usability were developed to provide adequate support for people with visual impairments and hearing impaired people. Thus, keeping the focus on potential users and their participation in the evaluation of the proposed design, it was possible to fix usability failures and incorporate new positive aspects. Therefore, it was verified that observing the recommendations to accessibility, without involving users in the project, does not allow the development of truly inclusive systems. © 2018 Association for Computing Machinery.",Conference paper,Final,Scopus
Hambley A.; Yesilada Y.; Vigo M.; Harper S.,57696104000; 8454176800; 14523664500; 7102941677,Web Structure Derived Clustering for Optimised Web Accessibility Evaluation,2023,"ACM Web Conference 2023 - Proceedings of the World Wide Web Conference, WWW 2023",,,,1345,1354,9,2,10.1145/3543507.3583508,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158141725&doi=10.1145%2f3543507.3583508&partnerID=40&md5=b36dcd54c36149084bf6a209abd601e1,"Web accessibility evaluation is a costly and complex process due to limited time, resources and ambiguity. To optimise the accessibility evaluation process, we aim to reduce the number of pages auditors must review by employing statistically representative pages, reducing a site of thousands of pages to a manageable review of archetypal pages. Our paper focuses on representativeness, one of six proposed metrics that form our methodology, to address the limitations we have identified with the W3C Website Accessibility Conformance Evaluation Methodology (WCAG-EM). These include the evaluative scope, the non-probabilistic sampling approach, and the potential for bias within the selected sample. Representativeness, in particular, is a metric to assess the quality and coverage of sampling. To measure this, we systematically evaluate five web page representations with a website of 388 pages, including tags, structure, the DOM tree, content, and a mixture of structure and content. Our findings highlight the importance of including structural components in representations. We validate our conclusions using the same methodology for three additional random sites of 500 pages. As an exclusive attribute, we find that features derived from web content are suboptimal and can lead to lower quality and more disparate clustering for optimised accessibility evaluation. © 2023 Owner/Author.",Conference paper,Final,Scopus
Londoño-Rojas L.F.; Tabares-Morales V.; Duque-Méndez N.,57290195700; 57202792983; 44061104100,AET tool for hybrid accessibility evaluation,2023,Universal Access in the Information Society,22,2,,655,661,6,1,10.1007/s10209-021-00846-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116815609&doi=10.1007%2fs10209-021-00846-8&partnerID=40&md5=676dcc2f455ba817bf0a461b258846b0,"Accessible websites are a necessity for everyone, especially for people with disabilities. However, this is an objective that has not been achieved yet and requires initiatives that continue guiding the way towards an increasingly inclusive web and lowering accessibility barriers. One of the first steps in this regard is to identify the accessibility level of a particular website, and for this purpose, a set of automatic tools and manual instruments have been developed. These tools allow calculating an accessibility level from the expert’s perspective and from the website’s source code using as a reference the accessibility guidelines defined by the W3C. The authors state that evaluating accessibility with just one of these methods is not enough, so therefore its integration is required. This article presents a tool called Accessibility Evaluation Tool, which allows and facilitates the integration of the accessibility evaluation delivered by an automatic validator with the manual evaluation of elements by experts. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Article,Final,Scopus
Rodriguez L.H.; Espinoza F.R.; Game L.F.,12244024600; 57211905092; 57211905544,Web accessibility audit in the Ecuadorian category A public universities in the period 2015-2016; [Auditoría de accesibilidad web en las universidades públicas categoria A del Ecuador periodo 2015-2016],2019,Espacios,40,26,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075310660&partnerID=40&md5=141042f7750332b63f3759e4cf54d370,"Nowadays, when talking about web accessibility, reference is made to an inclusive design with the ability to provide information to people with reduced capacities or limitations due to the passage of time. The objective of the present investigation is to evaluate the level of web accessibility in the public Universities category ""A"" of Ecuador, taking as reference the principles and criteria described in the NTE INEN-ISO / IEC 40500 standard. In order to comply with the objective, the methodology of evaluation of conformity with the accessibility in web sites (WCAG-EM) published by the W3C in 2013 was reviewed, where it is explained how to make the evaluation of the criteria exposed in the regulations and the form correct to take the respective sample of relevant pages within the website. In Ecuador, it is evident that most of the digital contents in public institutions are in a process of adaptation to the norm, this is not the case of the universities evaluated, where it was determined from the analysis that there are many errors at the level of design on websites. Additionally, a proposal is presented to evaluate accessibility in any website, based on current regulations. © 2019.",Article,Final,Scopus
Chiou P.T.; Alotaibi A.S.; Halfond W.G.J.,57200313469; 57215355329; 16230282400,Detecting Dialog-Related Keyboard Navigation Failures in Web Applications,2023,Proceedings - International Conference on Software Engineering,,,,1368,1380,12,1,10.1109/ICSE48619.2023.00120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171732213&doi=10.1109%2fICSE48619.2023.00120&partnerID=40&md5=2079b1f0c7df384d05968f48c32c1d6e,"The ability to navigate the Web via the keyboard interface is critical to people with various types of disabilities. However, modern websites often violate web accessibility guidelines for keyboard navigability with respect to web dialogs. In this paper, we present a novel approach for automatically detecting web accessibility bugs that prevent or hinder keyboard users' ability to navigate dialogs in web pages. An extensive evaluation of our technique on real-world subjects showed that our technique is effective in detecting these dialog-related keyboard navigation failures. © 2023 IEEE.",Conference paper,Final,Scopus
Calle-Jimenez T.; Sanchez-Gordon S.; Rybarczyk Y.; Jadán J.; Villarreal S.; Esparza W.; Acosta-Vargas P.; Guevara C.; Nunes I.L.,56237788800; 56027184100; 6506582516; 56267555100; 57194072513; 7004281431; 57192678428; 56452706300; 16053072200,Analysis and improvement of the web accessibility of a tele-rehabilitation platform for hip arthroplasty patients,2019,Advances in Intelligent Systems and Computing,781,,,233,245,12,8,10.1007/978-3-319-94334-3_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049618371&doi=10.1007%2f978-3-319-94334-3_24&partnerID=40&md5=897b9a64b6132c85a66a2eb52b15611c,"This paper explains some of the challenges that exist to make accessible the web interfaces of a Tele-rehabilitation platform for hip arthroplasty patients and propose an iterative method to improve the level of accessibility using automatic evaluation tools. Web accessibility is not concerned with the specific conditions of people who use the Web, but with the impact that their conditions have on their ability to use it. If the web interfaces of the Tele-rehabilitation platform for hip arthroplasty patients are not accessible enough, the patients will not be able to understand, perceive or operate adequately the platform to benefit completely of the physical therapy. The Web Content Accessibility Guidelines (WCAG 2.0) provides a set of rules and recommendations to help solve the problems of Web accessibility. Additionally, there are evaluation tools that allow identifying main web accessibility problems. These tools are best exploited when used by accessibility experts. The purpose of this research is threefold. First, to present the results of a web accessibility evaluation of the web interfaces of the Tele-rehabilitation Platform for Hip Arthroplasty Patients using three the evaluation tools: WAVE, AChecker and TAW. Second, to analyze the results presented by the tools according to the WCAG 2.0 guidelines to define a list of accessibility improvements. Third, to implement the improvements through the re-factorization of the existing code and re-testing the improved web interfaces to verify that they meet acceptable accessibility levels. © Springer International Publishing AG, part of Springer Nature 2019.",Conference paper,Final,Scopus
Duarte C.; Matos I.; Carriço L.,55938888000; 57212770751; 57024836200,Semantic content analysis supporting web accessibility evaluation,2018,"Proceedings of the 15th Web for All Conference : Internet of Accessible Things, W4A 2018",,,a22,,,,3,10.1145/3192714.3196828,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051759996&doi=10.1145%2f3192714.3196828&partnerID=40&md5=ac8f3b4c65400f4fb3d88a242b449840,"Despite its many advantages, automated web accessibility evaluation?s main limitation is still its inability to assess rules and techniques that require a semantic understanding of the web content. Today, machine learning solutions are available that can interpret different media content with a reasonable degree of confidence. These solutions have an untapped potential to increase the accessibility of web pages. This potential extends to the evaluation of web pages also. This paper proposes an algorithm to automatically rate the similarity between a content and its textual description in a web accessibility evaluation context. The validity of the algorithm is demonstrated by comparing its ratings of descriptions of images obtained from their alt texts with human ratings of the same descriptions. © 2018 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Conference paper,Final,Scopus
